order	Geodiversity	Relative Abundance
Betaproteobacteriales	Heterogeneous	0.037012726391219164
Betaproteobacteriales	Homogeneous	0.06823566203416197
Cytophagales	Heterogeneous	0.02019108928448269
Cytophagales	Homogeneous	0.046819011341973166
Gemmatimonadales	Heterogeneous	0.033799347230381006
Gemmatimonadales	Homogeneous	0.040020119381319795
Pyrinomonadales	Heterogeneous	0.103111403475621
Pyrinomonadales	Homogeneous	0.05783868828380178
Rhizobiales	Heterogeneous	0.07689956974991448
Rhizobiales	Homogeneous	0.08586516317753849
Rubrobacterales	Heterogeneous	0.14747913294411824
Rubrobacterales	Homogeneous	0.10186201104949257
Solirubrobacterales	Heterogeneous	0.054150759653317615
Solirubrobacterales	Homogeneous	0.049731376471282694
Sphingomonadales	Heterogeneous	0.05376414626835446
Sphingomonadales	Homogeneous	0.038401370197218454
