order	Geodiversity	Relative Abundance
Geminibasidiales	Heterogeneous	0.025904156517283883
Geminibasidiales	Homogeneous	0.0019889206037575933
Hypocreales	Heterogeneous	0.047091248832337666
Hypocreales	Homogeneous	0.04040160899532522
Mortierellales	Heterogeneous	0.07422739932593068
Mortierellales	Homogeneous	0.07757219302161919
Olpidiales	Heterogeneous	0.050413613809402846
Olpidiales	Homogeneous	0.005599285536674616
Pezizales	Heterogeneous	0.03262373372064043
Pezizales	Homogeneous	0.0423767227800349
Pleosporales	Heterogeneous	0.18865696710217697
Pleosporales	Homogeneous	0.2428127193735215
Sordariales	Heterogeneous	0.14431938148470025
Sordariales	Homogeneous	0.06950829718279482
Xylariales	Heterogeneous	0.02398068569091522
Xylariales	Homogeneous	0.05305027123015286
