sample-id	faith_pd	Geodiversity	Niche	Slope
AS3001	22.96095673743401	Homogenous	Shrub	O1
AS3002	17.796159159895478	Homogenous	Shrub	O1
AS3003	22.621494281377558	Homogenous	Shrub	O1
AS3004	24.628182708210822	Homogenous	Shrub	O1
AS3005	24.67203517316413	Homogenous	Intershrub	O1
AS3006	28.838390083753964	Homogenous	Intershrub	O1
AS3007	22.908750612960162	Homogenous	Intershrub	O1
AS3010	21.606956125950642	Homogenous	Shrub	O2
AS3011	20.325530095230466	Homogenous	Shrub	O2
AS3012	21.838659712820416	Homogenous	Shrub	O2
AS3013	22.035877962653693	Homogenous	Shrub	O2
AS3014	24.50783522750584	Homogenous	Shrub	O2
AS3015	21.170457828367425	Homogenous	Intershrub	O2
AS3016	24.386238690226232	Homogenous	Intershrub	O2
AS3017	30.25540838468241	Homogenous	Intershrub	O2
AS3018	21.725342214784824	Homogenous	Intershrub	O2
AS3019	20.032088071852762	Homogenous	Intershrub	O2
AS3020	21.183259723288987	Homogenous	Shrub	O3
AS3021	18.00359372234897	Homogenous	Shrub	O3
AS3022	23.532827436603643	Homogenous	Shrub	O3
AS3023	25.996400001748828	Homogenous	Shrub	O3
AS3024	19.503889428244282	Homogenous	Shrub	O3
AS3025	25.165023519880773	Homogenous	Intershrub	O3
AS3027	20.225406740749733	Homogenous	Intershrub	O3
AS3028	21.622985759549287	Homogenous	Intershrub	O3
AS3029	15.609399961680055	Homogenous	Intershrub	O3
AS3031	26.618062685726983	Heterogenous	Shrub	H1
AS3032	18.752996454803764	Heterogenous	Shrub	H1
AS3033	20.66604716117849	Heterogenous	Shrub	H1
AS3034	19.726007886048738	Heterogenous	Shrub	H1
AS3035	31.35396380896935	Heterogenous	Intershrub	H1
AS3037	19.466601011967573	Heterogenous	Intershrub	H1
AS3038	22.16385896792313	Heterogenous	Intershrub	H1
AS3039	19.539900083367318	Heterogenous	Intershrub	H1
AS3040	20.48590645642428	Heterogenous	Shrub	H2
AS3041	18.03820260919818	Heterogenous	Shrub	H2
AS3042	19.79351841595505	Heterogenous	Shrub	H2
AS3043	29.309090849031413	Heterogenous	Shrub	H2
AS3044	19.676713838890517	Heterogenous	Shrub	H2
AS3045	16.354854706456866	Heterogenous	Intershrub	H2
AS3046	20.00949747732065	Heterogenous	Intershrub	H2
AS3047	27.05631807180466	Heterogenous	Intershrub	H2
AS3048	17.420522161402637	Heterogenous	Intershrub	H2
AS3049	28.229183231705733	Heterogenous	Intershrub	H2
AS3050	25.77937779952973	Heterogenous	Shrub	H3
AS3051	19.82442809110029	Heterogenous	Shrub	H3
AS3054	20.413480023125967	Heterogenous	Shrub	H3
AS3055	17.250863169438983	Heterogenous	Intershrub	H3
AS3056	28.334572412499213	Heterogenous	Intershrub	H3
AS3057	25.675911034014327	Heterogenous	Intershrub	H3
AS3058	30.444888155143147	Heterogenous	Intershrub	H3
