sample_name	metric	marker	slope	geodiversity	a	b	niche_a	niche_b	withinamong	distance
634	unweighted	16SrRNA	O1	Homogeneous	AS3001	AS3002	Shrub	Shrub	within Shrub	0.44272819316189854
635	unweighted	16SrRNA	O1	Homogeneous	AS3001	AS3003	Shrub	Shrub	within Shrub	0.3412521809897319
636	unweighted	16SrRNA	O1	Homogeneous	AS3001	AS3004	Shrub	Shrub	within Shrub	0.4023645813855646
637	unweighted	16SrRNA	O1	Homogeneous	AS3001	AS3005	Shrub	Intershrub	among niches	0.33705834629785764
638	unweighted	16SrRNA	O1	Homogeneous	AS3001	AS3006	Shrub	Intershrub	among niches	0.3782288585169307
639	unweighted	16SrRNA	O1	Homogeneous	AS3001	AS3007	Shrub	Intershrub	among niches	0.33913243688958644
640	unweighted	16SrRNA	O1	Homogeneous	AS3002	AS3003	Shrub	Shrub	within Shrub	0.4549651615728464
641	unweighted	16SrRNA	O1	Homogeneous	AS3002	AS3004	Shrub	Shrub	within Shrub	0.4531916209377254
642	unweighted	16SrRNA	O1	Homogeneous	AS3002	AS3005	Shrub	Intershrub	among niches	0.4672501285912845
643	unweighted	16SrRNA	O1	Homogeneous	AS3002	AS3006	Shrub	Intershrub	among niches	0.4896735696308154
644	unweighted	16SrRNA	O1	Homogeneous	AS3002	AS3007	Shrub	Intershrub	among niches	0.4270162798000377
645	unweighted	16SrRNA	O1	Homogeneous	AS3003	AS3004	Shrub	Shrub	within Shrub	0.3692615916327144
646	unweighted	16SrRNA	O1	Homogeneous	AS3003	AS3005	Shrub	Intershrub	among niches	0.3555734186714929
647	unweighted	16SrRNA	O1	Homogeneous	AS3003	AS3006	Shrub	Intershrub	among niches	0.4111611383038528
648	unweighted	16SrRNA	O1	Homogeneous	AS3003	AS3007	Shrub	Intershrub	among niches	0.3561204954577457
649	unweighted	16SrRNA	O1	Homogeneous	AS3004	AS3005	Shrub	Intershrub	among niches	0.3941932248710425
650	unweighted	16SrRNA	O1	Homogeneous	AS3004	AS3006	Shrub	Intershrub	among niches	0.3908595386271869
651	unweighted	16SrRNA	O1	Homogeneous	AS3004	AS3007	Shrub	Intershrub	among niches	0.3813063293291548
652	unweighted	16SrRNA	O1	Homogeneous	AS3005	AS3006	Intershrub	Intershrub	within Intershrub	0.39194700831351176
653	unweighted	16SrRNA	O1	Homogeneous	AS3005	AS3007	Intershrub	Intershrub	within Intershrub	0.35144009248730435
654	unweighted	16SrRNA	O1	Homogeneous	AS3006	AS3007	Intershrub	Intershrub	within Intershrub	0.4026885805651209
655	unweighted	16SrRNA	O2	Homogeneous	AS3010	AS3011	Shrub	Shrub	within Shrub	0.44167287831909263
656	unweighted	16SrRNA	O2	Homogeneous	AS3010	AS3012	Shrub	Shrub	within Shrub	0.4956310636051804
657	unweighted	16SrRNA	O2	Homogeneous	AS3010	AS3013	Shrub	Shrub	within Shrub	0.4467350213142939
658	unweighted	16SrRNA	O2	Homogeneous	AS3010	AS3014	Shrub	Shrub	within Shrub	0.3480596965935996
659	unweighted	16SrRNA	O2	Homogeneous	AS3010	AS3015	Shrub	Intershrub	among niches	0.4883262755215882
660	unweighted	16SrRNA	O2	Homogeneous	AS3010	AS3016	Shrub	Intershrub	among niches	0.4872913804560439
661	unweighted	16SrRNA	O2	Homogeneous	AS3010	AS3017	Shrub	Intershrub	among niches	0.5248486220647958
662	unweighted	16SrRNA	O2	Homogeneous	AS3010	AS3018	Shrub	Intershrub	among niches	0.485663003824453
663	unweighted	16SrRNA	O2	Homogeneous	AS3010	AS3019	Shrub	Intershrub	among niches	0.5010443052558389
664	unweighted	16SrRNA	O2	Homogeneous	AS3011	AS3012	Shrub	Shrub	within Shrub	0.4156554984520724
665	unweighted	16SrRNA	O2	Homogeneous	AS3011	AS3013	Shrub	Shrub	within Shrub	0.4566668370007249
666	unweighted	16SrRNA	O2	Homogeneous	AS3011	AS3014	Shrub	Shrub	within Shrub	0.4386409828256264
667	unweighted	16SrRNA	O2	Homogeneous	AS3011	AS3015	Shrub	Intershrub	among niches	0.4313060431200861
668	unweighted	16SrRNA	O2	Homogeneous	AS3011	AS3016	Shrub	Intershrub	among niches	0.4512955992374947
669	unweighted	16SrRNA	O2	Homogeneous	AS3011	AS3017	Shrub	Intershrub	among niches	0.4933075055830584
670	unweighted	16SrRNA	O2	Homogeneous	AS3011	AS3018	Shrub	Intershrub	among niches	0.4267418758932696
671	unweighted	16SrRNA	O2	Homogeneous	AS3011	AS3019	Shrub	Intershrub	among niches	0.4439572233610944
672	unweighted	16SrRNA	O2	Homogeneous	AS3012	AS3013	Shrub	Shrub	within Shrub	0.4523685784769593
673	unweighted	16SrRNA	O2	Homogeneous	AS3012	AS3014	Shrub	Shrub	within Shrub	0.4732814308412828
674	unweighted	16SrRNA	O2	Homogeneous	AS3012	AS3015	Shrub	Intershrub	among niches	0.3012419209139026
675	unweighted	16SrRNA	O2	Homogeneous	AS3012	AS3016	Shrub	Intershrub	among niches	0.35866891824095565
676	unweighted	16SrRNA	O2	Homogeneous	AS3012	AS3017	Shrub	Intershrub	among niches	0.3376586723523634
677	unweighted	16SrRNA	O2	Homogeneous	AS3012	AS3018	Shrub	Intershrub	among niches	0.3283953170203437
678	unweighted	16SrRNA	O2	Homogeneous	AS3012	AS3019	Shrub	Intershrub	among niches	0.3354598187678288
679	unweighted	16SrRNA	O2	Homogeneous	AS3013	AS3014	Shrub	Shrub	within Shrub	0.4013571641761128
680	unweighted	16SrRNA	O2	Homogeneous	AS3013	AS3015	Shrub	Intershrub	among niches	0.4600782393028615
681	unweighted	16SrRNA	O2	Homogeneous	AS3013	AS3016	Shrub	Intershrub	among niches	0.4675081272647996
682	unweighted	16SrRNA	O2	Homogeneous	AS3013	AS3017	Shrub	Intershrub	among niches	0.5093358824170635
683	unweighted	16SrRNA	O2	Homogeneous	AS3013	AS3018	Shrub	Intershrub	among niches	0.3979884149667264
684	unweighted	16SrRNA	O2	Homogeneous	AS3013	AS3019	Shrub	Intershrub	among niches	0.3883455052322228
685	unweighted	16SrRNA	O2	Homogeneous	AS3014	AS3015	Shrub	Intershrub	among niches	0.4911754016663388
686	unweighted	16SrRNA	O2	Homogeneous	AS3014	AS3016	Shrub	Intershrub	among niches	0.4629200396050092
687	unweighted	16SrRNA	O2	Homogeneous	AS3014	AS3017	Shrub	Intershrub	among niches	0.5105087936287619
688	unweighted	16SrRNA	O2	Homogeneous	AS3014	AS3018	Shrub	Intershrub	among niches	0.495861995769587
689	unweighted	16SrRNA	O2	Homogeneous	AS3014	AS3019	Shrub	Intershrub	among niches	0.4739374599152376
690	unweighted	16SrRNA	O2	Homogeneous	AS3015	AS3016	Intershrub	Intershrub	within Intershrub	0.359475218426314
691	unweighted	16SrRNA	O2	Homogeneous	AS3015	AS3017	Intershrub	Intershrub	within Intershrub	0.3867570464010415
692	unweighted	16SrRNA	O2	Homogeneous	AS3015	AS3018	Intershrub	Intershrub	within Intershrub	0.3465864822044513
693	unweighted	16SrRNA	O2	Homogeneous	AS3015	AS3019	Intershrub	Intershrub	within Intershrub	0.378814299496709
694	unweighted	16SrRNA	O2	Homogeneous	AS3016	AS3017	Intershrub	Intershrub	within Intershrub	0.3630323707675621
695	unweighted	16SrRNA	O2	Homogeneous	AS3016	AS3018	Intershrub	Intershrub	within Intershrub	0.3913205847336818
696	unweighted	16SrRNA	O2	Homogeneous	AS3016	AS3019	Intershrub	Intershrub	within Intershrub	0.3801099418606357
697	unweighted	16SrRNA	O2	Homogeneous	AS3017	AS3018	Intershrub	Intershrub	within Intershrub	0.3922917389917687
698	unweighted	16SrRNA	O2	Homogeneous	AS3017	AS3019	Intershrub	Intershrub	within Intershrub	0.4449096660588506
699	unweighted	16SrRNA	O2	Homogeneous	AS3018	AS3019	Intershrub	Intershrub	within Intershrub	0.3265896208224128
700	unweighted	16SrRNA	O3	Homogeneous	AS3020	AS3021	Shrub	Shrub	within Shrub	0.3409751510632608
701	unweighted	16SrRNA	O3	Homogeneous	AS3020	AS3022	Shrub	Shrub	within Shrub	0.3896476652376972
702	unweighted	16SrRNA	O3	Homogeneous	AS3020	AS3023	Shrub	Shrub	within Shrub	0.4338065406358496
703	unweighted	16SrRNA	O3	Homogeneous	AS3020	AS3024	Shrub	Shrub	within Shrub	0.4049971574748623
704	unweighted	16SrRNA	O3	Homogeneous	AS3020	AS3025	Shrub	Intershrub	among niches	0.3861942690325441
705	unweighted	16SrRNA	O3	Homogeneous	AS3020	AS3027	Shrub	Intershrub	among niches	0.4194608809457946
706	unweighted	16SrRNA	O3	Homogeneous	AS3020	AS3028	Shrub	Intershrub	among niches	0.4035751064113285
707	unweighted	16SrRNA	O3	Homogeneous	AS3020	AS3029	Shrub	Intershrub	among niches	0.3975762849244357
708	unweighted	16SrRNA	O3	Homogeneous	AS3021	AS3022	Shrub	Shrub	within Shrub	0.3506788979651752
709	unweighted	16SrRNA	O3	Homogeneous	AS3021	AS3023	Shrub	Shrub	within Shrub	0.4047139531254503
710	unweighted	16SrRNA	O3	Homogeneous	AS3021	AS3024	Shrub	Shrub	within Shrub	0.35252189078559026
711	unweighted	16SrRNA	O3	Homogeneous	AS3021	AS3025	Shrub	Intershrub	among niches	0.4029922292814669
712	unweighted	16SrRNA	O3	Homogeneous	AS3021	AS3027	Shrub	Intershrub	among niches	0.3671320723311931
713	unweighted	16SrRNA	O3	Homogeneous	AS3021	AS3028	Shrub	Intershrub	among niches	0.3686609031760782
714	unweighted	16SrRNA	O3	Homogeneous	AS3021	AS3029	Shrub	Intershrub	among niches	0.3648841832736699
715	unweighted	16SrRNA	O3	Homogeneous	AS3022	AS3023	Shrub	Shrub	within Shrub	0.3794359750419897
716	unweighted	16SrRNA	O3	Homogeneous	AS3022	AS3024	Shrub	Shrub	within Shrub	0.3615354256093789
717	unweighted	16SrRNA	O3	Homogeneous	AS3022	AS3025	Shrub	Intershrub	among niches	0.4524014050237682
718	unweighted	16SrRNA	O3	Homogeneous	AS3022	AS3027	Shrub	Intershrub	among niches	0.44136119515558503
719	unweighted	16SrRNA	O3	Homogeneous	AS3022	AS3028	Shrub	Intershrub	among niches	0.42676823074090814
720	unweighted	16SrRNA	O3	Homogeneous	AS3022	AS3029	Shrub	Intershrub	among niches	0.4576164768257054
721	unweighted	16SrRNA	O3	Homogeneous	AS3023	AS3024	Shrub	Shrub	within Shrub	0.3747625113676871
722	unweighted	16SrRNA	O3	Homogeneous	AS3023	AS3025	Shrub	Intershrub	among niches	0.4221974100138274
723	unweighted	16SrRNA	O3	Homogeneous	AS3023	AS3027	Shrub	Intershrub	among niches	0.4213717134044511
724	unweighted	16SrRNA	O3	Homogeneous	AS3023	AS3028	Shrub	Intershrub	among niches	0.4196886272549236
725	unweighted	16SrRNA	O3	Homogeneous	AS3023	AS3029	Shrub	Intershrub	among niches	0.4904911885526131
726	unweighted	16SrRNA	O3	Homogeneous	AS3024	AS3025	Shrub	Intershrub	among niches	0.4573012053067813
727	unweighted	16SrRNA	O3	Homogeneous	AS3024	AS3027	Shrub	Intershrub	among niches	0.4176476153044846
728	unweighted	16SrRNA	O3	Homogeneous	AS3024	AS3028	Shrub	Intershrub	among niches	0.3812258049845726
729	unweighted	16SrRNA	O3	Homogeneous	AS3024	AS3029	Shrub	Intershrub	among niches	0.41424796537503217
730	unweighted	16SrRNA	O3	Homogeneous	AS3025	AS3027	Intershrub	Intershrub	within Intershrub	0.4024174293185068
731	unweighted	16SrRNA	O3	Homogeneous	AS3025	AS3028	Intershrub	Intershrub	within Intershrub	0.39998737452488936
732	unweighted	16SrRNA	O3	Homogeneous	AS3025	AS3029	Intershrub	Intershrub	within Intershrub	0.4582217768220271
733	unweighted	16SrRNA	O3	Homogeneous	AS3027	AS3028	Intershrub	Intershrub	within Intershrub	0.389258263402637
734	unweighted	16SrRNA	O3	Homogeneous	AS3027	AS3029	Intershrub	Intershrub	within Intershrub	0.4144134174769147
735	unweighted	16SrRNA	O3	Homogeneous	AS3028	AS3029	Intershrub	Intershrub	within Intershrub	0.41702772561248813
736	unweighted	16SrRNA	H1	Heterogeneous	AS3031	AS3032	Shrub	Shrub	within Shrub	0.4850441880063173
737	unweighted	16SrRNA	H1	Heterogeneous	AS3031	AS3033	Shrub	Shrub	within Shrub	0.4571126844939362
738	unweighted	16SrRNA	H1	Heterogeneous	AS3031	AS3034	Shrub	Shrub	within Shrub	0.4346919394161816
739	unweighted	16SrRNA	H1	Heterogeneous	AS3031	AS3035	Shrub	Intershrub	among niches	0.4610568273847162
740	unweighted	16SrRNA	H1	Heterogeneous	AS3031	AS3037	Shrub	Intershrub	among niches	0.5407781189008175
741	unweighted	16SrRNA	H1	Heterogeneous	AS3031	AS3038	Shrub	Intershrub	among niches	0.5189477758153561
742	unweighted	16SrRNA	H1	Heterogeneous	AS3031	AS3039	Shrub	Intershrub	among niches	0.4345292495161636
743	unweighted	16SrRNA	H1	Heterogeneous	AS3032	AS3033	Shrub	Shrub	within Shrub	0.3359967231372293
744	unweighted	16SrRNA	H1	Heterogeneous	AS3032	AS3034	Shrub	Shrub	within Shrub	0.3513581147587368
745	unweighted	16SrRNA	H1	Heterogeneous	AS3032	AS3035	Shrub	Intershrub	among niches	0.4802606629955127
746	unweighted	16SrRNA	H1	Heterogeneous	AS3032	AS3037	Shrub	Intershrub	among niches	0.4469410042549187
747	unweighted	16SrRNA	H1	Heterogeneous	AS3032	AS3038	Shrub	Intershrub	among niches	0.4583305003574456
748	unweighted	16SrRNA	H1	Heterogeneous	AS3032	AS3039	Shrub	Intershrub	among niches	0.3580837991717554
749	unweighted	16SrRNA	H1	Heterogeneous	AS3033	AS3034	Shrub	Shrub	within Shrub	0.337797446783816
750	unweighted	16SrRNA	H1	Heterogeneous	AS3033	AS3035	Shrub	Intershrub	among niches	0.4635733396739807
751	unweighted	16SrRNA	H1	Heterogeneous	AS3033	AS3037	Shrub	Intershrub	among niches	0.43272012045364333
752	unweighted	16SrRNA	H1	Heterogeneous	AS3033	AS3038	Shrub	Intershrub	among niches	0.4517803096495507
753	unweighted	16SrRNA	H1	Heterogeneous	AS3033	AS3039	Shrub	Intershrub	among niches	0.4126744139022472
754	unweighted	16SrRNA	H1	Heterogeneous	AS3034	AS3035	Shrub	Intershrub	among niches	0.4687792189472601
755	unweighted	16SrRNA	H1	Heterogeneous	AS3034	AS3037	Shrub	Intershrub	among niches	0.4030651635647579
756	unweighted	16SrRNA	H1	Heterogeneous	AS3034	AS3038	Shrub	Intershrub	among niches	0.4298895880968174
757	unweighted	16SrRNA	H1	Heterogeneous	AS3034	AS3039	Shrub	Intershrub	among niches	0.3845347269110902
758	unweighted	16SrRNA	H1	Heterogeneous	AS3035	AS3037	Intershrub	Intershrub	within Intershrub	0.5007030166775549
759	unweighted	16SrRNA	H1	Heterogeneous	AS3035	AS3038	Intershrub	Intershrub	within Intershrub	0.4744252656702118
760	unweighted	16SrRNA	H1	Heterogeneous	AS3035	AS3039	Intershrub	Intershrub	within Intershrub	0.467930634780492
761	unweighted	16SrRNA	H1	Heterogeneous	AS3037	AS3038	Intershrub	Intershrub	within Intershrub	0.39849193541857575
762	unweighted	16SrRNA	H1	Heterogeneous	AS3037	AS3039	Intershrub	Intershrub	within Intershrub	0.4835305439039406
763	unweighted	16SrRNA	H1	Heterogeneous	AS3038	AS3039	Intershrub	Intershrub	within Intershrub	0.466210029848255
764	unweighted	16SrRNA	H2	Heterogeneous	AS3040	AS3041	Shrub	Shrub	within Shrub	0.3620399589002103
765	unweighted	16SrRNA	H2	Heterogeneous	AS3040	AS3042	Shrub	Shrub	within Shrub	0.4032523233058875
766	unweighted	16SrRNA	H2	Heterogeneous	AS3040	AS3043	Shrub	Shrub	within Shrub	0.4259184538179954
767	unweighted	16SrRNA	H2	Heterogeneous	AS3040	AS3044	Shrub	Shrub	within Shrub	0.42741729646988136
768	unweighted	16SrRNA	H2	Heterogeneous	AS3040	AS3045	Shrub	Intershrub	among niches	0.5223473395211683
769	unweighted	16SrRNA	H2	Heterogeneous	AS3040	AS3046	Shrub	Intershrub	among niches	0.3723544205492033
770	unweighted	16SrRNA	H2	Heterogeneous	AS3040	AS3047	Shrub	Intershrub	among niches	0.4917191933047431
771	unweighted	16SrRNA	H2	Heterogeneous	AS3040	AS3048	Shrub	Intershrub	among niches	0.5040459760816707
772	unweighted	16SrRNA	H2	Heterogeneous	AS3040	AS3049	Shrub	Intershrub	among niches	0.4872903313859733
773	unweighted	16SrRNA	H2	Heterogeneous	AS3041	AS3042	Shrub	Shrub	within Shrub	0.3676543809046251
774	unweighted	16SrRNA	H2	Heterogeneous	AS3041	AS3043	Shrub	Shrub	within Shrub	0.4649581128010828
775	unweighted	16SrRNA	H2	Heterogeneous	AS3041	AS3044	Shrub	Shrub	within Shrub	0.3823764157328216
776	unweighted	16SrRNA	H2	Heterogeneous	AS3041	AS3045	Shrub	Intershrub	among niches	0.4978805474973773
777	unweighted	16SrRNA	H2	Heterogeneous	AS3041	AS3046	Shrub	Intershrub	among niches	0.3709709424669823
778	unweighted	16SrRNA	H2	Heterogeneous	AS3041	AS3047	Shrub	Intershrub	among niches	0.4740600100530885
779	unweighted	16SrRNA	H2	Heterogeneous	AS3041	AS3048	Shrub	Intershrub	among niches	0.4389323857563168
780	unweighted	16SrRNA	H2	Heterogeneous	AS3041	AS3049	Shrub	Intershrub	among niches	0.4601446774221343
781	unweighted	16SrRNA	H2	Heterogeneous	AS3042	AS3043	Shrub	Shrub	within Shrub	0.42806604667351983
782	unweighted	16SrRNA	H2	Heterogeneous	AS3042	AS3044	Shrub	Shrub	within Shrub	0.3821988309017617
783	unweighted	16SrRNA	H2	Heterogeneous	AS3042	AS3045	Shrub	Intershrub	among niches	0.4798399158639594
784	unweighted	16SrRNA	H2	Heterogeneous	AS3042	AS3046	Shrub	Intershrub	among niches	0.4110608192893128
785	unweighted	16SrRNA	H2	Heterogeneous	AS3042	AS3047	Shrub	Intershrub	among niches	0.4618165738645582
786	unweighted	16SrRNA	H2	Heterogeneous	AS3042	AS3048	Shrub	Intershrub	among niches	0.4754499232610762
787	unweighted	16SrRNA	H2	Heterogeneous	AS3042	AS3049	Shrub	Intershrub	among niches	0.47223817635568
788	unweighted	16SrRNA	H2	Heterogeneous	AS3043	AS3044	Shrub	Shrub	within Shrub	0.4949099955411681
789	unweighted	16SrRNA	H2	Heterogeneous	AS3043	AS3045	Shrub	Intershrub	among niches	0.6267645639830028
790	unweighted	16SrRNA	H2	Heterogeneous	AS3043	AS3046	Shrub	Intershrub	among niches	0.480465741609385
791	unweighted	16SrRNA	H2	Heterogeneous	AS3043	AS3047	Shrub	Intershrub	among niches	0.4776667764095657
792	unweighted	16SrRNA	H2	Heterogeneous	AS3043	AS3048	Shrub	Intershrub	among niches	0.5856695570605994
