sample_name	metric	marker	niche	a	b	slope_a	geodiversity_a	slope_b	geodiversity_b	withinamong	distance
1212	weighted	16SrRNA	Shrub	AS3001	AS3010	O1	Homogenous	O2	Homogenous	within Homogenous	0.2740531117701668
1213	weighted	16SrRNA	Shrub	AS3001	AS3011	O1	Homogenous	O2	Homogenous	within Homogenous	0.2486982131463193
1214	weighted	16SrRNA	Shrub	AS3001	AS3012	O1	Homogenous	O2	Homogenous	within Homogenous	0.12448966778605852
1215	weighted	16SrRNA	Shrub	AS3001	AS3013	O1	Homogenous	O2	Homogenous	within Homogenous	0.2040594465667509
1216	weighted	16SrRNA	Shrub	AS3001	AS3014	O1	Homogenous	O2	Homogenous	within Homogenous	0.22912356550159935
1217	weighted	16SrRNA	Shrub	AS3001	AS3020	O1	Homogenous	O3	Homogenous	within Homogenous	0.1489417248006435
1218	weighted	16SrRNA	Shrub	AS3001	AS3021	O1	Homogenous	O3	Homogenous	within Homogenous	0.14274676410683568
1219	weighted	16SrRNA	Shrub	AS3001	AS3022	O1	Homogenous	O3	Homogenous	within Homogenous	0.1481577718363121
1220	weighted	16SrRNA	Shrub	AS3001	AS3023	O1	Homogenous	O3	Homogenous	within Homogenous	0.12410561666894665
1221	weighted	16SrRNA	Shrub	AS3001	AS3024	O1	Homogenous	O3	Homogenous	within Homogenous	0.13595741191917707
1222	weighted	16SrRNA	Shrub	AS3001	AS3031	O1	Homogenous	H1	Heterogenous	among geodiversity	0.2674375061357812
1223	weighted	16SrRNA	Shrub	AS3001	AS3032	O1	Homogenous	H1	Heterogenous	among geodiversity	0.1873257684744315
1224	weighted	16SrRNA	Shrub	AS3001	AS3033	O1	Homogenous	H1	Heterogenous	among geodiversity	0.1397982322922622
1225	weighted	16SrRNA	Shrub	AS3001	AS3034	O1	Homogenous	H1	Heterogenous	among geodiversity	0.1473023597571101
1226	weighted	16SrRNA	Shrub	AS3001	AS3040	O1	Homogenous	H2	Heterogenous	among geodiversity	0.2604715841090924
1227	weighted	16SrRNA	Shrub	AS3001	AS3041	O1	Homogenous	H2	Heterogenous	among geodiversity	0.22269370513048414
1228	weighted	16SrRNA	Shrub	AS3001	AS3042	O1	Homogenous	H2	Heterogenous	among geodiversity	0.23216940052123994
1229	weighted	16SrRNA	Shrub	AS3001	AS3043	O1	Homogenous	H2	Heterogenous	among geodiversity	0.265052171633669
1230	weighted	16SrRNA	Shrub	AS3001	AS3044	O1	Homogenous	H2	Heterogenous	among geodiversity	0.1992018810956213
1231	weighted	16SrRNA	Shrub	AS3001	AS3050	O1	Homogenous	H3	Heterogenous	among geodiversity	0.17992521824268606
1232	weighted	16SrRNA	Shrub	AS3001	AS3051	O1	Homogenous	H3	Heterogenous	among geodiversity	0.18733799064233367
1233	weighted	16SrRNA	Shrub	AS3001	AS3054	O1	Homogenous	H3	Heterogenous	among geodiversity	0.1490594359316754
1234	weighted	16SrRNA	Shrub	AS3002	AS3010	O1	Homogenous	O2	Homogenous	within Homogenous	0.12019171444264333
1235	weighted	16SrRNA	Shrub	AS3002	AS3011	O1	Homogenous	O2	Homogenous	within Homogenous	0.2720428014928722
1236	weighted	16SrRNA	Shrub	AS3002	AS3012	O1	Homogenous	O2	Homogenous	within Homogenous	0.24658152898804706
1237	weighted	16SrRNA	Shrub	AS3002	AS3013	O1	Homogenous	O2	Homogenous	within Homogenous	0.10265391134667216
1238	weighted	16SrRNA	Shrub	AS3002	AS3014	O1	Homogenous	O2	Homogenous	within Homogenous	0.1265853640510087
1239	weighted	16SrRNA	Shrub	AS3002	AS3020	O1	Homogenous	O3	Homogenous	within Homogenous	0.1788318441821245
1240	weighted	16SrRNA	Shrub	AS3002	AS3021	O1	Homogenous	O3	Homogenous	within Homogenous	0.27150635680819124
1241	weighted	16SrRNA	Shrub	AS3002	AS3022	O1	Homogenous	O3	Homogenous	within Homogenous	0.2851344422604412
1242	weighted	16SrRNA	Shrub	AS3002	AS3023	O1	Homogenous	O3	Homogenous	within Homogenous	0.2837248190092002
1243	weighted	16SrRNA	Shrub	AS3002	AS3024	O1	Homogenous	O3	Homogenous	within Homogenous	0.26726953187517377
1244	weighted	16SrRNA	Shrub	AS3002	AS3031	O1	Homogenous	H1	Heterogenous	among geodiversity	0.2079171833405306
1245	weighted	16SrRNA	Shrub	AS3002	AS3032	O1	Homogenous	H1	Heterogenous	among geodiversity	0.2772839218451661
1246	weighted	16SrRNA	Shrub	AS3002	AS3033	O1	Homogenous	H1	Heterogenous	among geodiversity	0.2480078312305305
1247	weighted	16SrRNA	Shrub	AS3002	AS3034	O1	Homogenous	H1	Heterogenous	among geodiversity	0.22125741962655016
1248	weighted	16SrRNA	Shrub	AS3002	AS3040	O1	Homogenous	H2	Heterogenous	among geodiversity	0.1634403164655962
1249	weighted	16SrRNA	Shrub	AS3002	AS3041	O1	Homogenous	H2	Heterogenous	among geodiversity	0.15276506432010173
1250	weighted	16SrRNA	Shrub	AS3002	AS3042	O1	Homogenous	H2	Heterogenous	among geodiversity	0.17681247293904556
1251	weighted	16SrRNA	Shrub	AS3002	AS3043	O1	Homogenous	H2	Heterogenous	among geodiversity	0.17147998645695298
1252	weighted	16SrRNA	Shrub	AS3002	AS3044	O1	Homogenous	H2	Heterogenous	among geodiversity	0.2163723070325997
1253	weighted	16SrRNA	Shrub	AS3002	AS3050	O1	Homogenous	H3	Heterogenous	among geodiversity	0.2798558524439797
1254	weighted	16SrRNA	Shrub	AS3002	AS3051	O1	Homogenous	H3	Heterogenous	among geodiversity	0.2189309940341086
1255	weighted	16SrRNA	Shrub	AS3002	AS3054	O1	Homogenous	H3	Heterogenous	among geodiversity	0.2431704291820165
1256	weighted	16SrRNA	Shrub	AS3003	AS3010	O1	Homogenous	O2	Homogenous	within Homogenous	0.291658643531104
1257	weighted	16SrRNA	Shrub	AS3003	AS3011	O1	Homogenous	O2	Homogenous	within Homogenous	0.18573024037022226
1258	weighted	16SrRNA	Shrub	AS3003	AS3012	O1	Homogenous	O2	Homogenous	within Homogenous	0.16546660494057594
1259	weighted	16SrRNA	Shrub	AS3003	AS3013	O1	Homogenous	O2	Homogenous	within Homogenous	0.2436974773712849
1260	weighted	16SrRNA	Shrub	AS3003	AS3014	O1	Homogenous	O2	Homogenous	within Homogenous	0.25517164201808
1261	weighted	16SrRNA	Shrub	AS3003	AS3020	O1	Homogenous	O3	Homogenous	within Homogenous	0.19408604407772745
1262	weighted	16SrRNA	Shrub	AS3003	AS3021	O1	Homogenous	O3	Homogenous	within Homogenous	0.18855898425631729
1263	weighted	16SrRNA	Shrub	AS3003	AS3022	O1	Homogenous	O3	Homogenous	within Homogenous	0.16723254824775366
1264	weighted	16SrRNA	Shrub	AS3003	AS3023	O1	Homogenous	O3	Homogenous	within Homogenous	0.2028824942268565
1265	weighted	16SrRNA	Shrub	AS3003	AS3024	O1	Homogenous	O3	Homogenous	within Homogenous	0.1635034731729199
