sample_name	metric	marker	slope	geodiversity	a	b	niche_a	niche_b	withinamong	distance
438	weighted	16SrRNA	O1	Homogeneous	AS3001	AS3002	Shrub	Shrub	within Shrub	0.2407099629434685
439	weighted	16SrRNA	O1	Homogeneous	AS3001	AS3003	Shrub	Shrub	within Shrub	0.16838752244607744
440	weighted	16SrRNA	O1	Homogeneous	AS3001	AS3004	Shrub	Shrub	within Shrub	0.17036704475635428
441	weighted	16SrRNA	O1	Homogeneous	AS3001	AS3005	Shrub	Intershrub	among niches	0.1194319649985914
442	weighted	16SrRNA	O1	Homogeneous	AS3001	AS3006	Shrub	Intershrub	among niches	0.10560802661879896
443	weighted	16SrRNA	O1	Homogeneous	AS3001	AS3007	Shrub	Intershrub	among niches	0.1376781257332192
444	weighted	16SrRNA	O1	Homogeneous	AS3002	AS3003	Shrub	Shrub	within Shrub	0.2659389203122861
445	weighted	16SrRNA	O1	Homogeneous	AS3002	AS3004	Shrub	Shrub	within Shrub	0.15248683756841327
446	weighted	16SrRNA	O1	Homogeneous	AS3002	AS3005	Shrub	Intershrub	among niches	0.1999230119391896
447	weighted	16SrRNA	O1	Homogeneous	AS3002	AS3006	Shrub	Intershrub	among niches	0.2334897417958231
448	weighted	16SrRNA	O1	Homogeneous	AS3002	AS3007	Shrub	Intershrub	among niches	0.20851135117250635
449	weighted	16SrRNA	O1	Homogeneous	AS3003	AS3004	Shrub	Shrub	within Shrub	0.19502758192077466
450	weighted	16SrRNA	O1	Homogeneous	AS3003	AS3005	Shrub	Intershrub	among niches	0.17378267186611407
451	weighted	16SrRNA	O1	Homogeneous	AS3003	AS3006	Shrub	Intershrub	among niches	0.17046236487934685
452	weighted	16SrRNA	O1	Homogeneous	AS3003	AS3007	Shrub	Intershrub	among niches	0.16503780995699824
453	weighted	16SrRNA	O1	Homogeneous	AS3004	AS3005	Shrub	Intershrub	among niches	0.1515116384529089
454	weighted	16SrRNA	O1	Homogeneous	AS3004	AS3006	Shrub	Intershrub	among niches	0.17286796337720606
455	weighted	16SrRNA	O1	Homogeneous	AS3004	AS3007	Shrub	Intershrub	among niches	0.1539313313259118
456	weighted	16SrRNA	O1	Homogeneous	AS3005	AS3006	Intershrub	Intershrub	within Intershrub	0.10752126985109928
457	weighted	16SrRNA	O1	Homogeneous	AS3005	AS3007	Intershrub	Intershrub	within Intershrub	0.09714222295343476
458	weighted	16SrRNA	O1	Homogeneous	AS3006	AS3007	Intershrub	Intershrub	within Intershrub	0.1412173453503831
459	weighted	16SrRNA	O2	Homogeneous	AS3010	AS3011	Shrub	Shrub	within Shrub	0.2947962993065905
460	weighted	16SrRNA	O2	Homogeneous	AS3010	AS3012	Shrub	Shrub	within Shrub	0.2743658477610979
461	weighted	16SrRNA	O2	Homogeneous	AS3010	AS3013	Shrub	Shrub	within Shrub	0.14774768091622414
462	weighted	16SrRNA	O2	Homogeneous	AS3010	AS3014	Shrub	Shrub	within Shrub	0.12499834639709925
463	weighted	16SrRNA	O2	Homogeneous	AS3010	AS3015	Shrub	Intershrub	among niches	0.3304543683089201
464	weighted	16SrRNA	O2	Homogeneous	AS3010	AS3016	Shrub	Intershrub	among niches	0.3153718169791673
465	weighted	16SrRNA	O2	Homogeneous	AS3010	AS3017	Shrub	Intershrub	among niches	0.3038835058774143
466	weighted	16SrRNA	O2	Homogeneous	AS3010	AS3018	Shrub	Intershrub	among niches	0.2987309526560569
467	weighted	16SrRNA	O2	Homogeneous	AS3010	AS3019	Shrub	Intershrub	among niches	0.2872152542370872
468	weighted	16SrRNA	O2	Homogeneous	AS3011	AS3012	Shrub	Shrub	within Shrub	0.242623462288626
469	weighted	16SrRNA	O2	Homogeneous	AS3011	AS3013	Shrub	Shrub	within Shrub	0.24601568164971285
470	weighted	16SrRNA	O2	Homogeneous	AS3011	AS3014	Shrub	Shrub	within Shrub	0.2621977861645318
471	weighted	16SrRNA	O2	Homogeneous	AS3011	AS3015	Shrub	Intershrub	among niches	0.2848477031949678
472	weighted	16SrRNA	O2	Homogeneous	AS3011	AS3016	Shrub	Intershrub	among niches	0.2787849850706631
473	weighted	16SrRNA	O2	Homogeneous	AS3011	AS3017	Shrub	Intershrub	among niches	0.26179272320588826
474	weighted	16SrRNA	O2	Homogeneous	AS3011	AS3018	Shrub	Intershrub	among niches	0.24865658086833545
475	weighted	16SrRNA	O2	Homogeneous	AS3011	AS3019	Shrub	Intershrub	among niches	0.2405693196843012
476	weighted	16SrRNA	O2	Homogeneous	AS3012	AS3013	Shrub	Shrub	within Shrub	0.19488003275225385
477	weighted	16SrRNA	O2	Homogeneous	AS3012	AS3014	Shrub	Shrub	within Shrub	0.2368821282920392
478	weighted	16SrRNA	O2	Homogeneous	AS3012	AS3015	Shrub	Intershrub	among niches	0.11041055043829323
479	weighted	16SrRNA	O2	Homogeneous	AS3012	AS3016	Shrub	Intershrub	among niches	0.12599135392349978
480	weighted	16SrRNA	O2	Homogeneous	AS3012	AS3017	Shrub	Intershrub	among niches	0.10701016611893968
481	weighted	16SrRNA	O2	Homogeneous	AS3012	AS3018	Shrub	Intershrub	among niches	0.1062472771145608
482	weighted	16SrRNA	O2	Homogeneous	AS3012	AS3019	Shrub	Intershrub	among niches	0.09535946948522188
483	weighted	16SrRNA	O2	Homogeneous	AS3013	AS3014	Shrub	Shrub	within Shrub	0.13757290414398407
484	weighted	16SrRNA	O2	Homogeneous	AS3013	AS3015	Shrub	Intershrub	among niches	0.24654546112227196
485	weighted	16SrRNA	O2	Homogeneous	AS3013	AS3016	Shrub	Intershrub	among niches	0.24896063039435815
486	weighted	16SrRNA	O2	Homogeneous	AS3013	AS3017	Shrub	Intershrub	among niches	0.2200391838873965
487	weighted	16SrRNA	O2	Homogeneous	AS3013	AS3018	Shrub	Intershrub	among niches	0.21300099520002536
488	weighted	16SrRNA	O2	Homogeneous	AS3013	AS3019	Shrub	Intershrub	among niches	0.1933451277711476
489	weighted	16SrRNA	O2	Homogeneous	AS3014	AS3015	Shrub	Intershrub	among niches	0.2900809860730262
490	weighted	16SrRNA	O2	Homogeneous	AS3014	AS3016	Shrub	Intershrub	among niches	0.2846512910804056
491	weighted	16SrRNA	O2	Homogeneous	AS3014	AS3017	Shrub	Intershrub	among niches	0.26637130112263124
492	weighted	16SrRNA	O2	Homogeneous	AS3014	AS3018	Shrub	Intershrub	among niches	0.25813258234709857
493	weighted	16SrRNA	O2	Homogeneous	AS3014	AS3019	Shrub	Intershrub	among niches	0.2437533735293101
494	weighted	16SrRNA	O2	Homogeneous	AS3015	AS3016	Intershrub	Intershrub	within Intershrub	0.10654157453232037
495	weighted	16SrRNA	O2	Homogeneous	AS3015	AS3017	Intershrub	Intershrub	within Intershrub	0.1213020606376216
496	weighted	16SrRNA	O2	Homogeneous	AS3015	AS3018	Intershrub	Intershrub	within Intershrub	0.11450278543103265
497	weighted	16SrRNA	O2	Homogeneous	AS3015	AS3019	Intershrub	Intershrub	within Intershrub	0.1481458361169006
498	weighted	16SrRNA	O2	Homogeneous	AS3016	AS3017	Intershrub	Intershrub	within Intershrub	0.14656636965118128
499	weighted	16SrRNA	O2	Homogeneous	AS3016	AS3018	Intershrub	Intershrub	within Intershrub	0.14437204110041835
500	weighted	16SrRNA	O2	Homogeneous	AS3016	AS3019	Intershrub	Intershrub	within Intershrub	0.16232749464745513
501	weighted	16SrRNA	O2	Homogeneous	AS3017	AS3018	Intershrub	Intershrub	within Intershrub	0.0979893115420554
502	weighted	16SrRNA	O2	Homogeneous	AS3017	AS3019	Intershrub	Intershrub	within Intershrub	0.10700416728040467
503	weighted	16SrRNA	O2	Homogeneous	AS3018	AS3019	Intershrub	Intershrub	within Intershrub	0.10073862362331283
504	weighted	16SrRNA	O3	Homogeneous	AS3020	AS3021	Shrub	Shrub	within Shrub	0.1604511120306627
505	weighted	16SrRNA	O3	Homogeneous	AS3020	AS3022	Shrub	Shrub	within Shrub	0.1861490837111681
506	weighted	16SrRNA	O3	Homogeneous	AS3020	AS3023	Shrub	Shrub	within Shrub	0.2073924813353505
507	weighted	16SrRNA	O3	Homogeneous	AS3020	AS3024	Shrub	Shrub	within Shrub	0.17103238446553715
508	weighted	16SrRNA	O3	Homogeneous	AS3020	AS3025	Shrub	Intershrub	among niches	0.1591432626691356
509	weighted	16SrRNA	O3	Homogeneous	AS3020	AS3027	Shrub	Intershrub	among niches	0.16097986731413108
510	weighted	16SrRNA	O3	Homogeneous	AS3020	AS3028	Shrub	Intershrub	among niches	0.14186857748188011
511	weighted	16SrRNA	O3	Homogeneous	AS3020	AS3029	Shrub	Intershrub	among niches	0.10773618819195246
512	weighted	16SrRNA	O3	Homogeneous	AS3021	AS3022	Shrub	Shrub	within Shrub	0.11125073842573628
513	weighted	16SrRNA	O3	Homogeneous	AS3021	AS3023	Shrub	Shrub	within Shrub	0.20010101113657824
