sample_name	metric	marker	niche	a	b	slope_a	geodiversity_a	slope_b	geodiversity_b	withinamong	distance
606	unweighted	ITS1	Shrub	ITS-AS3000	ITS-AS3010	O1	Homogenous	O2	Homogenous	within Homogenous	0.6273800510373321
607	unweighted	ITS1	Shrub	ITS-AS3000	ITS-AS3011	O1	Homogenous	O2	Homogenous	within Homogenous	0.625075951343224
608	unweighted	ITS1	Shrub	ITS-AS3000	ITS-AS3012	O1	Homogenous	O2	Homogenous	within Homogenous	0.6316840672044858
609	unweighted	ITS1	Shrub	ITS-AS3000	ITS-AS3013	O1	Homogenous	O2	Homogenous	within Homogenous	0.7154005399128074
610	unweighted	ITS1	Shrub	ITS-AS3000	ITS-AS3014	O1	Homogenous	O2	Homogenous	within Homogenous	0.5208697353005063
611	unweighted	ITS1	Shrub	ITS-AS3000	ITS-AS3020	O1	Homogenous	O3	Homogenous	within Homogenous	0.6319552772465042
612	unweighted	ITS1	Shrub	ITS-AS3000	ITS-AS3021	O1	Homogenous	O3	Homogenous	within Homogenous	0.6588608851875418
613	unweighted	ITS1	Shrub	ITS-AS3000	ITS-AS3022	O1	Homogenous	O3	Homogenous	within Homogenous	0.6274624979005603
614	unweighted	ITS1	Shrub	ITS-AS3000	ITS-AS3023	O1	Homogenous	O3	Homogenous	within Homogenous	0.599156440479302
615	unweighted	ITS1	Shrub	ITS-AS3000	ITS-AS3031	O1	Homogenous	H1	Heterogenous	among geodiversity	0.662711206971231
616	unweighted	ITS1	Shrub	ITS-AS3000	ITS-AS3032	O1	Homogenous	H1	Heterogenous	among geodiversity	0.6740805508250973
617	unweighted	ITS1	Shrub	ITS-AS3000	ITS-AS3033	O1	Homogenous	H1	Heterogenous	among geodiversity	0.6502929560991685
618	unweighted	ITS1	Shrub	ITS-AS3000	ITS-AS3034	O1	Homogenous	H1	Heterogenous	among geodiversity	0.5924186489944427
619	unweighted	ITS1	Shrub	ITS-AS3000	ITS-AS3040	O1	Homogenous	H2	Heterogenous	among geodiversity	0.6010464702481391
620	unweighted	ITS1	Shrub	ITS-AS3000	ITS-AS3041	O1	Homogenous	H2	Heterogenous	among geodiversity	0.6344533451310812
621	unweighted	ITS1	Shrub	ITS-AS3000	ITS-AS3042	O1	Homogenous	H2	Heterogenous	among geodiversity	0.6466320874116563
622	unweighted	ITS1	Shrub	ITS-AS3000	ITS-AS3044	O1	Homogenous	H2	Heterogenous	among geodiversity	0.664426755455872
623	unweighted	ITS1	Shrub	ITS-AS3000	ITS-AS3050	O1	Homogenous	H3	Heterogenous	among geodiversity	0.8596747633447875
624	unweighted	ITS1	Shrub	ITS-AS3000	ITS-AS3051	O1	Homogenous	H3	Heterogenous	among geodiversity	0.6377942451075976
625	unweighted	ITS1	Shrub	ITS-AS3000	ITS-AS3052	O1	Homogenous	H3	Heterogenous	among geodiversity	0.6831132318214851
626	unweighted	ITS1	Shrub	ITS-AS3000	ITS-AS3053	O1	Homogenous	H3	Heterogenous	among geodiversity	0.6078616176932263
627	unweighted	ITS1	Shrub	ITS-AS3000	ITS-AS3054	O1	Homogenous	H3	Heterogenous	among geodiversity	0.5766258854294767
628	unweighted	ITS1	Shrub	ITS-AS3001	ITS-AS3010	O1	Homogenous	O2	Homogenous	within Homogenous	0.6827668298495364
629	unweighted	ITS1	Shrub	ITS-AS3001	ITS-AS3011	O1	Homogenous	O2	Homogenous	within Homogenous	0.7125452376821186
630	unweighted	ITS1	Shrub	ITS-AS3001	ITS-AS3012	O1	Homogenous	O2	Homogenous	within Homogenous	0.635512747461959
631	unweighted	ITS1	Shrub	ITS-AS3001	ITS-AS3013	O1	Homogenous	O2	Homogenous	within Homogenous	0.805761590396646
632	unweighted	ITS1	Shrub	ITS-AS3001	ITS-AS3014	O1	Homogenous	O2	Homogenous	within Homogenous	0.7025920183953048
633	unweighted	ITS1	Shrub	ITS-AS3001	ITS-AS3020	O1	Homogenous	O3	Homogenous	within Homogenous	0.6693695072362312
634	unweighted	ITS1	Shrub	ITS-AS3001	ITS-AS3021	O1	Homogenous	O3	Homogenous	within Homogenous	0.6695437127082488
635	unweighted	ITS1	Shrub	ITS-AS3001	ITS-AS3022	O1	Homogenous	O3	Homogenous	within Homogenous	0.6569758755238249
636	unweighted	ITS1	Shrub	ITS-AS3001	ITS-AS3023	O1	Homogenous	O3	Homogenous	within Homogenous	0.6800957568607039
637	unweighted	ITS1	Shrub	ITS-AS3001	ITS-AS3031	O1	Homogenous	H1	Heterogenous	among geodiversity	0.6834431306314552
638	unweighted	ITS1	Shrub	ITS-AS3001	ITS-AS3032	O1	Homogenous	H1	Heterogenous	among geodiversity	0.6820954145462428
639	unweighted	ITS1	Shrub	ITS-AS3001	ITS-AS3033	O1	Homogenous	H1	Heterogenous	among geodiversity	0.6276833589781124
640	unweighted	ITS1	Shrub	ITS-AS3001	ITS-AS3034	O1	Homogenous	H1	Heterogenous	among geodiversity	0.6680595588394721
641	unweighted	ITS1	Shrub	ITS-AS3001	ITS-AS3040	O1	Homogenous	H2	Heterogenous	among geodiversity	0.7346821325227904
642	unweighted	ITS1	Shrub	ITS-AS3001	ITS-AS3041	O1	Homogenous	H2	Heterogenous	among geodiversity	0.6918936731930999
643	unweighted	ITS1	Shrub	ITS-AS3001	ITS-AS3042	O1	Homogenous	H2	Heterogenous	among geodiversity	0.6327145549275307
644	unweighted	ITS1	Shrub	ITS-AS3001	ITS-AS3044	O1	Homogenous	H2	Heterogenous	among geodiversity	0.642638601644107
645	unweighted	ITS1	Shrub	ITS-AS3001	ITS-AS3050	O1	Homogenous	H3	Heterogenous	among geodiversity	0.856292641004862
646	unweighted	ITS1	Shrub	ITS-AS3001	ITS-AS3051	O1	Homogenous	H3	Heterogenous	among geodiversity	0.7047514289133047
647	unweighted	ITS1	Shrub	ITS-AS3001	ITS-AS3052	O1	Homogenous	H3	Heterogenous	among geodiversity	0.7343722220396497
648	unweighted	ITS1	Shrub	ITS-AS3001	ITS-AS3053	O1	Homogenous	H3	Heterogenous	among geodiversity	0.6935598303453826
649	unweighted	ITS1	Shrub	ITS-AS3001	ITS-AS3054	O1	Homogenous	H3	Heterogenous	among geodiversity	0.6183488909043947
650	unweighted	ITS1	Shrub	ITS-AS3002	ITS-AS3010	O1	Homogenous	O2	Homogenous	within Homogenous	0.5938439384008116
651	unweighted	ITS1	Shrub	ITS-AS3002	ITS-AS3011	O1	Homogenous	O2	Homogenous	within Homogenous	0.6626559785723041
652	unweighted	ITS1	Shrub	ITS-AS3002	ITS-AS3012	O1	Homogenous	O2	Homogenous	within Homogenous	0.7118228643074225
653	unweighted	ITS1	Shrub	ITS-AS3002	ITS-AS3013	O1	Homogenous	O2	Homogenous	within Homogenous	0.6568163619929438
654	unweighted	ITS1	Shrub	ITS-AS3002	ITS-AS3014	O1	Homogenous	O2	Homogenous	within Homogenous	0.5832750345465745
655	unweighted	ITS1	Shrub	ITS-AS3002	ITS-AS3020	O1	Homogenous	O3	Homogenous	within Homogenous	0.609413419264015
656	unweighted	ITS1	Shrub	ITS-AS3002	ITS-AS3021	O1	Homogenous	O3	Homogenous	within Homogenous	0.7702072989140809
657	unweighted	ITS1	Shrub	ITS-AS3002	ITS-AS3022	O1	Homogenous	O3	Homogenous	within Homogenous	0.6936758699266643
658	unweighted	ITS1	Shrub	ITS-AS3002	ITS-AS3023	O1	Homogenous	O3	Homogenous	within Homogenous	0.7653365686496271
659	unweighted	ITS1	Shrub	ITS-AS3002	ITS-AS3031	O1	Homogenous	H1	Heterogenous	among geodiversity	0.7000391502928973
660	unweighted	ITS1	Shrub	ITS-AS3002	ITS-AS3032	O1	Homogenous	H1	Heterogenous	among geodiversity	0.6702532181229561
661	unweighted	ITS1	Shrub	ITS-AS3002	ITS-AS3033	O1	Homogenous	H1	Heterogenous	among geodiversity	0.75700996128699
662	unweighted	ITS1	Shrub	ITS-AS3002	ITS-AS3034	O1	Homogenous	H1	Heterogenous	among geodiversity	0.6579953726704267
663	unweighted	ITS1	Shrub	ITS-AS3002	ITS-AS3040	O1	Homogenous	H2	Heterogenous	among geodiversity	0.7392954402547007
664	unweighted	ITS1	Shrub	ITS-AS3002	ITS-AS3041	O1	Homogenous	H2	Heterogenous	among geodiversity	0.6549358089333701
665	unweighted	ITS1	Shrub	ITS-AS3002	ITS-AS3042	O1	Homogenous	H2	Heterogenous	among geodiversity	0.727726194474083
666	unweighted	ITS1	Shrub	ITS-AS3002	ITS-AS3044	O1	Homogenous	H2	Heterogenous	among geodiversity	0.7214301531027029
667	unweighted	ITS1	Shrub	ITS-AS3002	ITS-AS3050	O1	Homogenous	H3	Heterogenous	among geodiversity	0.8166990476073719
668	unweighted	ITS1	Shrub	ITS-AS3002	ITS-AS3051	O1	Homogenous	H3	Heterogenous	among geodiversity	0.7320307774770997
669	unweighted	ITS1	Shrub	ITS-AS3002	ITS-AS3052	O1	Homogenous	H3	Heterogenous	among geodiversity	0.7444344076623612
670	unweighted	ITS1	Shrub	ITS-AS3002	ITS-AS3053	O1	Homogenous	H3	Heterogenous	among geodiversity	0.6640991878599299
671	unweighted	ITS1	Shrub	ITS-AS3002	ITS-AS3054	O1	Homogenous	H3	Heterogenous	among geodiversity	0.6255364688153274
672	unweighted	ITS1	Shrub	ITS-AS3003	ITS-AS3010	O1	Homogenous	O2	Homogenous	within Homogenous	0.6588350967727238
673	unweighted	ITS1	Shrub	ITS-AS3003	ITS-AS3011	O1	Homogenous	O2	Homogenous	within Homogenous	0.7725655090471455
674	unweighted	ITS1	Shrub	ITS-AS3003	ITS-AS3012	O1	Homogenous	O2	Homogenous	within Homogenous	0.7415243882733248
675	unweighted	ITS1	Shrub	ITS-AS3003	ITS-AS3013	O1	Homogenous	O2	Homogenous	within Homogenous	0.7733303565826589
676	unweighted	ITS1	Shrub	ITS-AS3003	ITS-AS3014	O1	Homogenous	O2	Homogenous	within Homogenous	0.7233869492008259
677	unweighted	ITS1	Shrub	ITS-AS3003	ITS-AS3020	O1	Homogenous	O3	Homogenous	within Homogenous	0.6646890872587877
678	unweighted	ITS1	Shrub	ITS-AS3003	ITS-AS3021	O1	Homogenous	O3	Homogenous	within Homogenous	0.7666973166540956
679	unweighted	ITS1	Shrub	ITS-AS3003	ITS-AS3022	O1	Homogenous	O3	Homogenous	within Homogenous	0.7480410147331266
