sample_name	metric	marker	niche	a	b	slope_a	geodiversity_a	slope_b	geodiversity_b	withinamong	distance
0	weighted	ITS1	Shrub	ITS-AS3000	ITS-AS3010	O1	Homogenous	O2	Homogenous	within Homogenous	0.9877216725499685
1	weighted	ITS1	Shrub	ITS-AS3000	ITS-AS3011	O1	Homogenous	O2	Homogenous	within Homogenous	0.8728355169795029
2	weighted	ITS1	Shrub	ITS-AS3000	ITS-AS3012	O1	Homogenous	O2	Homogenous	within Homogenous	0.9171331809806272
3	weighted	ITS1	Shrub	ITS-AS3000	ITS-AS3013	O1	Homogenous	O2	Homogenous	within Homogenous	1.0847482104557211
4	weighted	ITS1	Shrub	ITS-AS3000	ITS-AS3014	O1	Homogenous	O2	Homogenous	within Homogenous	1.1750075525028578
5	weighted	ITS1	Shrub	ITS-AS3000	ITS-AS3020	O1	Homogenous	O3	Homogenous	within Homogenous	0.8648580414173553
6	weighted	ITS1	Shrub	ITS-AS3000	ITS-AS3021	O1	Homogenous	O3	Homogenous	within Homogenous	0.9609510656347978
7	weighted	ITS1	Shrub	ITS-AS3000	ITS-AS3022	O1	Homogenous	O3	Homogenous	within Homogenous	1.384739320332986
8	weighted	ITS1	Shrub	ITS-AS3000	ITS-AS3023	O1	Homogenous	O3	Homogenous	within Homogenous	0.6691568686421004
9	weighted	ITS1	Shrub	ITS-AS3000	ITS-AS3031	O1	Homogenous	H1	Heterogenous	among geodiversity	0.9507755041737392
10	weighted	ITS1	Shrub	ITS-AS3000	ITS-AS3032	O1	Homogenous	H1	Heterogenous	among geodiversity	1.0804326368096289
11	weighted	ITS1	Shrub	ITS-AS3000	ITS-AS3033	O1	Homogenous	H1	Heterogenous	among geodiversity	0.940213174403998
12	weighted	ITS1	Shrub	ITS-AS3000	ITS-AS3034	O1	Homogenous	H1	Heterogenous	among geodiversity	1.1046589667135196
13	weighted	ITS1	Shrub	ITS-AS3000	ITS-AS3040	O1	Homogenous	H2	Heterogenous	among geodiversity	0.9961766134856308
14	weighted	ITS1	Shrub	ITS-AS3000	ITS-AS3041	O1	Homogenous	H2	Heterogenous	among geodiversity	0.9696964522037798
15	weighted	ITS1	Shrub	ITS-AS3000	ITS-AS3042	O1	Homogenous	H2	Heterogenous	among geodiversity	0.7063869428344092
16	weighted	ITS1	Shrub	ITS-AS3000	ITS-AS3044	O1	Homogenous	H2	Heterogenous	among geodiversity	1.0408969585119991
17	weighted	ITS1	Shrub	ITS-AS3000	ITS-AS3050	O1	Homogenous	H3	Heterogenous	among geodiversity	1.2767470871654971
18	weighted	ITS1	Shrub	ITS-AS3000	ITS-AS3051	O1	Homogenous	H3	Heterogenous	among geodiversity	0.8414507001924095
19	weighted	ITS1	Shrub	ITS-AS3000	ITS-AS3052	O1	Homogenous	H3	Heterogenous	among geodiversity	0.8884302256811872
20	weighted	ITS1	Shrub	ITS-AS3000	ITS-AS3053	O1	Homogenous	H3	Heterogenous	among geodiversity	0.8228590927904047
21	weighted	ITS1	Shrub	ITS-AS3000	ITS-AS3054	O1	Homogenous	H3	Heterogenous	among geodiversity	0.8952095434193872
22	weighted	ITS1	Shrub	ITS-AS3001	ITS-AS3010	O1	Homogenous	O2	Homogenous	within Homogenous	1.4714395982856945
23	weighted	ITS1	Shrub	ITS-AS3001	ITS-AS3011	O1	Homogenous	O2	Homogenous	within Homogenous	1.4248739591880168
24	weighted	ITS1	Shrub	ITS-AS3001	ITS-AS3012	O1	Homogenous	O2	Homogenous	within Homogenous	1.3826413685650756
25	weighted	ITS1	Shrub	ITS-AS3001	ITS-AS3013	O1	Homogenous	O2	Homogenous	within Homogenous	1.4758328083499732
26	weighted	ITS1	Shrub	ITS-AS3001	ITS-AS3014	O1	Homogenous	O2	Homogenous	within Homogenous	1.626480455103226
27	weighted	ITS1	Shrub	ITS-AS3001	ITS-AS3020	O1	Homogenous	O3	Homogenous	within Homogenous	1.5116312864309398
28	weighted	ITS1	Shrub	ITS-AS3001	ITS-AS3021	O1	Homogenous	O3	Homogenous	within Homogenous	1.0324656763590403
29	weighted	ITS1	Shrub	ITS-AS3001	ITS-AS3022	O1	Homogenous	O3	Homogenous	within Homogenous	0.41431490059997095
30	weighted	ITS1	Shrub	ITS-AS3001	ITS-AS3023	O1	Homogenous	O3	Homogenous	within Homogenous	1.4563266202795422
31	weighted	ITS1	Shrub	ITS-AS3001	ITS-AS3031	O1	Homogenous	H1	Heterogenous	among geodiversity	1.236264383960665
32	weighted	ITS1	Shrub	ITS-AS3001	ITS-AS3032	O1	Homogenous	H1	Heterogenous	among geodiversity	1.136551768106984
33	weighted	ITS1	Shrub	ITS-AS3001	ITS-AS3033	O1	Homogenous	H1	Heterogenous	among geodiversity	1.1951078024316544
34	weighted	ITS1	Shrub	ITS-AS3001	ITS-AS3034	O1	Homogenous	H1	Heterogenous	among geodiversity	0.6886854256603628
35	weighted	ITS1	Shrub	ITS-AS3001	ITS-AS3040	O1	Homogenous	H2	Heterogenous	among geodiversity	1.4314968289037977
36	weighted	ITS1	Shrub	ITS-AS3001	ITS-AS3041	O1	Homogenous	H2	Heterogenous	among geodiversity	1.4306873900945536
37	weighted	ITS1	Shrub	ITS-AS3001	ITS-AS3042	O1	Homogenous	H2	Heterogenous	among geodiversity	1.4530239296870098
38	weighted	ITS1	Shrub	ITS-AS3001	ITS-AS3044	O1	Homogenous	H2	Heterogenous	among geodiversity	1.5029573010731718
39	weighted	ITS1	Shrub	ITS-AS3001	ITS-AS3050	O1	Homogenous	H3	Heterogenous	among geodiversity	1.5664659609133067
40	weighted	ITS1	Shrub	ITS-AS3001	ITS-AS3051	O1	Homogenous	H3	Heterogenous	among geodiversity	1.1643508380402714
41	weighted	ITS1	Shrub	ITS-AS3001	ITS-AS3052	O1	Homogenous	H3	Heterogenous	among geodiversity	1.2232141146722948
42	weighted	ITS1	Shrub	ITS-AS3001	ITS-AS3053	O1	Homogenous	H3	Heterogenous	among geodiversity	1.3201677166445571
43	weighted	ITS1	Shrub	ITS-AS3001	ITS-AS3054	O1	Homogenous	H3	Heterogenous	among geodiversity	1.3014401850605466
44	weighted	ITS1	Shrub	ITS-AS3002	ITS-AS3010	O1	Homogenous	O2	Homogenous	within Homogenous	0.9198509121792986
45	weighted	ITS1	Shrub	ITS-AS3002	ITS-AS3011	O1	Homogenous	O2	Homogenous	within Homogenous	1.0036663318396095
46	weighted	ITS1	Shrub	ITS-AS3002	ITS-AS3012	O1	Homogenous	O2	Homogenous	within Homogenous	0.9433168248701159
47	weighted	ITS1	Shrub	ITS-AS3002	ITS-AS3013	O1	Homogenous	O2	Homogenous	within Homogenous	0.9037367699986452
48	weighted	ITS1	Shrub	ITS-AS3002	ITS-AS3014	O1	Homogenous	O2	Homogenous	within Homogenous	0.8561315387918016
49	weighted	ITS1	Shrub	ITS-AS3002	ITS-AS3020	O1	Homogenous	O3	Homogenous	within Homogenous	0.9602710992547342
50	weighted	ITS1	Shrub	ITS-AS3002	ITS-AS3021	O1	Homogenous	O3	Homogenous	within Homogenous	1.0342783678512597
51	weighted	ITS1	Shrub	ITS-AS3002	ITS-AS3022	O1	Homogenous	O3	Homogenous	within Homogenous	1.6333120434572783
52	weighted	ITS1	Shrub	ITS-AS3002	ITS-AS3023	O1	Homogenous	O3	Homogenous	within Homogenous	1.274677972961986
53	weighted	ITS1	Shrub	ITS-AS3002	ITS-AS3031	O1	Homogenous	H1	Heterogenous	among geodiversity	0.9371714629768708
54	weighted	ITS1	Shrub	ITS-AS3002	ITS-AS3032	O1	Homogenous	H1	Heterogenous	among geodiversity	1.3213196928377604
55	weighted	ITS1	Shrub	ITS-AS3002	ITS-AS3033	O1	Homogenous	H1	Heterogenous	among geodiversity	1.0274248717996166
56	weighted	ITS1	Shrub	ITS-AS3002	ITS-AS3034	O1	Homogenous	H1	Heterogenous	among geodiversity	1.2298911714230258
57	weighted	ITS1	Shrub	ITS-AS3002	ITS-AS3040	O1	Homogenous	H2	Heterogenous	among geodiversity	0.8450096441894697
58	weighted	ITS1	Shrub	ITS-AS3002	ITS-AS3041	O1	Homogenous	H2	Heterogenous	among geodiversity	0.957648330790152
59	weighted	ITS1	Shrub	ITS-AS3002	ITS-AS3042	O1	Homogenous	H2	Heterogenous	among geodiversity	1.0562520173481291
60	weighted	ITS1	Shrub	ITS-AS3002	ITS-AS3044	O1	Homogenous	H2	Heterogenous	among geodiversity	1.2934795666921286
61	weighted	ITS1	Shrub	ITS-AS3002	ITS-AS3050	O1	Homogenous	H3	Heterogenous	among geodiversity	1.2438595179147878
62	weighted	ITS1	Shrub	ITS-AS3002	ITS-AS3051	O1	Homogenous	H3	Heterogenous	among geodiversity	1.2249967211468271
63	weighted	ITS1	Shrub	ITS-AS3002	ITS-AS3052	O1	Homogenous	H3	Heterogenous	among geodiversity	1.0439222464734534
64	weighted	ITS1	Shrub	ITS-AS3002	ITS-AS3053	O1	Homogenous	H3	Heterogenous	among geodiversity	0.9394451533428928
65	weighted	ITS1	Shrub	ITS-AS3002	ITS-AS3054	O1	Homogenous	H3	Heterogenous	among geodiversity	0.9909684692065164
66	weighted	ITS1	Shrub	ITS-AS3003	ITS-AS3010	O1	Homogenous	O2	Homogenous	within Homogenous	1.3160309563630013
67	weighted	ITS1	Shrub	ITS-AS3003	ITS-AS3011	O1	Homogenous	O2	Homogenous	within Homogenous	1.2728998295924618
68	weighted	ITS1	Shrub	ITS-AS3003	ITS-AS3012	O1	Homogenous	O2	Homogenous	within Homogenous	1.2928874853799517
69	weighted	ITS1	Shrub	ITS-AS3003	ITS-AS3013	O1	Homogenous	O2	Homogenous	within Homogenous	1.315410130739003
70	weighted	ITS1	Shrub	ITS-AS3003	ITS-AS3014	O1	Homogenous	O2	Homogenous	within Homogenous	1.3113563131368602
71	weighted	ITS1	Shrub	ITS-AS3003	ITS-AS3020	O1	Homogenous	O3	Homogenous	within Homogenous	1.327120666443369
72	weighted	ITS1	Shrub	ITS-AS3003	ITS-AS3021	O1	Homogenous	O3	Homogenous	within Homogenous	0.8859923493690114
73	weighted	ITS1	Shrub	ITS-AS3003	ITS-AS3022	O1	Homogenous	O3	Homogenous	within Homogenous	0.9766412793031386
74	weighted	ITS1	Shrub	ITS-AS3003	ITS-AS3023	O1	Homogenous	O3	Homogenous	within Homogenous	1.2718287692300472
75	weighted	ITS1	Shrub	ITS-AS3003	ITS-AS3031	O1	Homogenous	H1	Heterogenous	among geodiversity	0.9314097453159996
76	weighted	ITS1	Shrub	ITS-AS3003	ITS-AS3032	O1	Homogenous	H1	Heterogenous	among geodiversity	1.0992528571486522
77	weighted	ITS1	Shrub	ITS-AS3003	ITS-AS3033	O1	Homogenous	H1	Heterogenous	among geodiversity	1.1090124612535104
78	weighted	ITS1	Shrub	ITS-AS3003	ITS-AS3034	O1	Homogenous	H1	Heterogenous	among geodiversity	0.7428450774190025
79	weighted	ITS1	Shrub	ITS-AS3003	ITS-AS3040	O1	Homogenous	H2	Heterogenous	among geodiversity	1.3067986363408428
80	weighted	ITS1	Shrub	ITS-AS3003	ITS-AS3041	O1	Homogenous	H2	Heterogenous	among geodiversity	1.1321105115957404
81	weighted	ITS1	Shrub	ITS-AS3003	ITS-AS3042	O1	Homogenous	H2	Heterogenous	among geodiversity	1.2702224430710205
