sample_name	metric	marker	slope	geodiversity	a	b	niche_a	niche_b	withinamong	distance
0	weighted	ITS1	O1	Homogeneous	ITS-AS3000	ITS-AS3001	Shrub	Shrub	within Shrub	1.33682606582399
1	weighted	ITS1	O1	Homogeneous	ITS-AS3000	ITS-AS3002	Shrub	Shrub	within Shrub	1.1126299823147388
2	weighted	ITS1	O1	Homogeneous	ITS-AS3000	ITS-AS3003	Shrub	Shrub	within Shrub	1.2552326106557736
3	weighted	ITS1	O1	Homogeneous	ITS-AS3000	ITS-AS3004	Shrub	Shrub	within Shrub	0.8834827745710296
4	weighted	ITS1	O1	Homogeneous	ITS-AS3000	ITS-AS3005	Shrub	Intershrub	among niches	1.204581536181828
5	weighted	ITS1	O1	Homogeneous	ITS-AS3000	ITS-AS3006	Shrub	Intershrub	among niches	1.4136516868956592
6	weighted	ITS1	O1	Homogeneous	ITS-AS3000	ITS-AS3007	Shrub	Intershrub	among niches	1.482743965571882
7	weighted	ITS1	O1	Homogeneous	ITS-AS3000	ITS-AS3008	Shrub	Intershrub	among niches	1.0159186027888971
8	weighted	ITS1	O1	Homogeneous	ITS-AS3000	ITS-AS3009	Shrub	Intershrub	among niches	1.0803857331318432
9	weighted	ITS1	O1	Homogeneous	ITS-AS3001	ITS-AS3002	Shrub	Shrub	within Shrub	1.5116075948089702
10	weighted	ITS1	O1	Homogeneous	ITS-AS3001	ITS-AS3003	Shrub	Shrub	within Shrub	1.018095046986769
11	weighted	ITS1	O1	Homogeneous	ITS-AS3001	ITS-AS3004	Shrub	Shrub	within Shrub	1.3351853407495695
12	weighted	ITS1	O1	Homogeneous	ITS-AS3001	ITS-AS3005	Shrub	Intershrub	among niches	1.105258848172636
13	weighted	ITS1	O1	Homogeneous	ITS-AS3001	ITS-AS3006	Shrub	Intershrub	among niches	0.5380794293775357
14	weighted	ITS1	O1	Homogeneous	ITS-AS3001	ITS-AS3007	Shrub	Intershrub	among niches	0.43614229869428656
15	weighted	ITS1	O1	Homogeneous	ITS-AS3001	ITS-AS3008	Shrub	Intershrub	among niches	0.9780244112292708
16	weighted	ITS1	O1	Homogeneous	ITS-AS3001	ITS-AS3009	Shrub	Intershrub	among niches	1.2615361639839764
17	weighted	ITS1	O1	Homogeneous	ITS-AS3002	ITS-AS3003	Shrub	Shrub	within Shrub	1.2400756908559918
18	weighted	ITS1	O1	Homogeneous	ITS-AS3002	ITS-AS3004	Shrub	Shrub	within Shrub	0.9806549378429325
19	weighted	ITS1	O1	Homogeneous	ITS-AS3002	ITS-AS3005	Shrub	Intershrub	among niches	1.184110575353285
20	weighted	ITS1	O1	Homogeneous	ITS-AS3002	ITS-AS3006	Shrub	Intershrub	among niches	1.713522049453949
21	weighted	ITS1	O1	Homogeneous	ITS-AS3002	ITS-AS3007	Shrub	Intershrub	among niches	1.5160040584302428
22	weighted	ITS1	O1	Homogeneous	ITS-AS3002	ITS-AS3008	Shrub	Intershrub	among niches	1.3217221501904637
23	weighted	ITS1	O1	Homogeneous	ITS-AS3002	ITS-AS3009	Shrub	Intershrub	among niches	1.1313763871491278
24	weighted	ITS1	O1	Homogeneous	ITS-AS3003	ITS-AS3004	Shrub	Shrub	within Shrub	1.2971531610080886
25	weighted	ITS1	O1	Homogeneous	ITS-AS3003	ITS-AS3005	Shrub	Intershrub	among niches	0.800047689467234
26	weighted	ITS1	O1	Homogeneous	ITS-AS3003	ITS-AS3006	Shrub	Intershrub	among niches	1.1411791716356037
27	weighted	ITS1	O1	Homogeneous	ITS-AS3003	ITS-AS3007	Shrub	Intershrub	among niches	0.9576030620164816
28	weighted	ITS1	O1	Homogeneous	ITS-AS3003	ITS-AS3008	Shrub	Intershrub	among niches	0.9233239241610732
29	weighted	ITS1	O1	Homogeneous	ITS-AS3003	ITS-AS3009	Shrub	Intershrub	among niches	0.9554675761625472
30	weighted	ITS1	O1	Homogeneous	ITS-AS3004	ITS-AS3005	Shrub	Intershrub	among niches	1.15671308630721
31	weighted	ITS1	O1	Homogeneous	ITS-AS3004	ITS-AS3006	Shrub	Intershrub	among niches	1.4751888065852463
