accession	message	sample_name	replicate	description	geo_loc_name	collection_date	sample_title	organism	environmental_medium	lat_lon	depth	elevation	broad_scale_environmental_context	local_scale_environmental_context	annual_and_seasonal_precipitation	annual_and_seasonal_temperature	geodiversity	niche	hillslope
SAMN17684449	Successfully loaded	AS3045	biological replicate 1	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H2 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H2 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H2
SAMN17684449	These attribute values are not valid. An automatically-generated correction will be applied.	AS3045	biological replicate 1	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H2 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H2 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H2
SAMN17684450	Successfully loaded	AS3046	biological replicate 2	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H2 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H2 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H2
SAMN17684450	These attribute values are not valid. An automatically-generated correction will be applied.	AS3046	biological replicate 2	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H2 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H2 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H2
SAMN17684451	Successfully loaded	AS3047	biological replicate 3	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H2 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H2 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H2
SAMN17684451	These attribute values are not valid. An automatically-generated correction will be applied.	AS3047	biological replicate 3	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H2 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H2 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H2
SAMN17684452	Successfully loaded	AS3048	biological replicate 4	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H2 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H2 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H2
SAMN17684452	These attribute values are not valid. An automatically-generated correction will be applied.	AS3048	biological replicate 4	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H2 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H2 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H2
SAMN17684453	Successfully loaded	AS3049	biological replicate 5	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H2 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H2 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H2
SAMN17684453	These attribute values are not valid. An automatically-generated correction will be applied.	AS3049	biological replicate 5	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H2 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H2 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H2
