function	AS3000	AS3001	AS3002	AS3003	AS3004	AS3005	AS3007	AS3009	AS3010	AS3011	AS3012	AS3013	AS3014	AS3015	AS3016	AS3017	AS3018	AS3019	AS3020	AS3021	AS3022	AS3023	AS3024	AS3025	AS3027	AS3028	AS3029	AS3031	AS3032	AS3033	AS3034	AS3035	AS3037	AS3038	AS3039	AS3040	AS3041	AS3042	AS3043	AS3044	AS3045	AS3046	AS3047	AS3048	AS3049	AS3050	AS3051	AS3054	AS3055	AS3056	AS3057	AS3058	AS3059	AS3063	AS3064	AS3066	AS3067	AS3070	AS3071	AS3072	AS3073	AS3074	AS3075
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	2289.67	2358.2300000000005	2814.0199999999995	2845.83	2764.58	2481.29	2522.65	2072.29	2784.33	3483.5	2406.32	2708.18	2768.49	2244.0	2586.5	2385.66	2430.8	2504.84	2637.34	2458.67	2329.34	2202.67	2366.51	3046.15	2685.48	2711.66	2657.34	2190.65	2701.0	2491.85	2732.17	2333.65	2160.5	1917.34	2862.24	2783.84	2973.84	2895.1600000000008	2984.66	2938.0	2038.32	2782.16	2636.16	2365.5	2403.82	2661.5	2854.65	2767.66	2785.5	2683.67	2835.8	2608.32	2153.16	2748.15	3119.17	2611.16	2721.15	2576.830000000001	2779.01	2803.33	2511.66	2620.95	2674.0
1.1.1.136-RXN	234.67	329.5	534.67	607.1700000000002	470.5	339.33	296.66	268.84	397.16	748.25	396.25	383.67	424.08	307.0	311.0	267.75	445.5	509.25	441.17	333.17	323.0	399.33	361.17	676.0799999999998	527.16	436.5	403.0	343.83	644.0	448.17	549.6700000000002	311.3300000000001	305.3300000000001	51.0	488.5	473.92	620.0	534.8299999999998	486.5	601.0	280.0	577.0	444.5	392.0	305.0	680.0	675.66	502.33	547.0	623.6700000000002	569.0	523.3299999999998	343.0	403.5	773.17	457.83	498.83	455.33	422.67	537.1700000000002	370.0	399.17	421.08
1.1.1.145-RXN	0.0	0.0	5.0	3.0	9.0	6.0	3.0	0.0	0.0	0.0	10.0	0.0	5.0	6.0	0.0	8.0	6.0	4.0	4.0	12.0	0.0	0.0	2.0	2.0	0.0	15.0	0.0	0.0	6.0	0.0	0.0	9.0	0.0	0.0	0.0	6.0	3.0	0.0	0.0	3.0	0.0	16.0	2.0	0.0	0.0	12.0	5.0	8.0	6.0	0.0	8.0	7.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	9.0	0.0	14.0	10.0
1.1.1.215-RXN	86.0	26.4	65.0	27.0	60.0	26.3	31.0	13.1	50.5	93.0	29.3	61.0	26.5	32.5	31.0	22.0	26.3	56.0	75.5	22.0	0.0	101.0	32.5	36.0	55.0	59.0	138.0	29.0	28.0	22.0	60.0	37.0	5.0	17.0	74.0	42.0	38.0	34.0	58.5	13.0	120.0	27.0	0.0	52.0	23.0	32.0	47.0	9.0	0.0	55.0	38.8	37.0	23.0	27.0	54.0	31.0	35.0	24.0	28.0	46.9	21.0	67.6	44.0
1.1.1.251-RXN	0.0	0.8	0.0	0.0	0.0	0.6	0.0	0.2	0.0	0.0	0.6	0.0	0.0	1.0	0.0	0.0	0.6	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	1.2	0.0
1.1.1.253-RXN	249.34	292.17	213.17	523.1700000000002	437.5	255.16000000000003	221.16000000000003	154.0	182.16	815.5	377.92	295.5	219.83	369.5	304.0	422.5	456.5	445.25	364.17	327.17	403.0	342.33	489.17	547.5799999999998	285.8300000000001	328.5	403.0	248.33	554.0	393.5	490.17	193.0	106.0	32.0	317.25	231.67	349.5	322.83	337.0	554.5	112.0	434.0	340.5	338.0	266.0	648.0	483.33	503.83	491.0	474.0	414.0	446.33	265.0	256.5	682.17	329.5	417.33	513.8299999999998	277.0	415.75	245.0	470.0	355.0800000000001
1.1.1.261-RXN	51.0	126.0	139.0	94.0	93.0	98.33	67.0	64.0	85.0	80.0	116.08	66.0	62.0	104.5	156.0	58.0	77.0	99.75	59.0	88.0	57.0	173.0	62.0	66.08	90.5	83.5	66.0	41.0	78.0	87.0	57.17	86.33	104.0	39.0	96.0	74.5	99.0	51.0	20.0	57.0	69.0	122.0	102.0	93.0	58.0	74.0	49.0	49.5	120.0	66.0	95.0	52.0	43.0	100.0	25.0	12.0	80.33	33.0	82.0	89.67	36.0	43.17	52.25
1.1.1.264-RXN	24.0	36.0	79.0	21.0	78.75	52.83	42.0	24.0	89.0	83.0	59.83	51.0	42.0	49.5	87.0	49.0	38.0	36.5	58.0	56.0	14.0	15.0	39.5	15.0	34.0	46.0	39.0	12.0	9.0	18.0	30.17	20.33	0.0	8.0	51.0	30.0	45.0	26.0	14.0	21.5	10.0	30.0	20.0	16.0	13.0	28.0	31.0	37.5	18.0	15.0	51.0	38.0	35.0	50.0	20.0	38.0	45.0	23.0	92.0	63.67	21.0	58.17	32.0
1.1.1.271-RXN	654.0	416.66	678.6700000000002	679.0000000000001	600.09	439.67	501.83	651.84	536.6700000000002	869.0	472.83	621.1700000000002	534.6700000000002	371.5	324.0	478.33	494.5	558.6700000000002	647.3299999999998	446.67	288.67	341.99999999999994	418.84	793.0	666.0	570.8299999999998	566.1700000000002	742.33	687.5	518.8299999999998	556.0	391.83	150.67000000000004	108.17	723.6600000000002	537.5	548.1700000000002	616.67	633.83	753.5	121.66	549.3299999999998	493.33	379.0	394.16	659.5	657.16	583.16	551.0	801.4999999999999	687.0	605.0	599.1600000000002	590.8299999999998	926.17	618.5	624.49	542.84	566.6700000000002	605.5	721.6600000000002	589.67	572.16
1.1.1.292-RXN	0.0	3.0	7.0	0.0	17.0	2.0	0.0	8.0	12.0	0.0	11.0	0.0	5.0	11.0	0.0	10.0	0.0	0.0	5.0	5.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	3.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	7.0	3.0	0.0	8.0	0.0	11.0	0.0
1.1.1.34-RXN	0.0	3.0	4.0	0.0	0.0	3.0	3.0	1.0	9.0	4.0	0.0	14.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	13.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0	3.0	3.0	0.0	2.0	0.0	1.0	15.0	2.0	4.0	0.0	17.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	20.0	8.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	4.0
1.1.1.39-RXN	514.1700000000002	1100.9	582.1700000000002	1064.5	725.33	930.29	948.83	1014.27	487.83	976.5	923.3	503.0	620.0	1042.5	1070.0	977.5	948.8	828.0	700.6700000000002	1035.5	953.0	1352.0	969.0	875.8299999999998	552.8299999999998	629.0	666.0	716.1600000000002	1015.0	923.67	843.6800000000002	1080.65	1277.5	1335.0	846.33	691.1699999999997	760.8399999999998	703.33	630.0	857.5	1178.0	1029.5	1128.5	1255.0	706.5	772.0	878.0	929.83	1214.5	793.17	958.8	934.33	733.6600000000002	807.66	921.0	739.5	817.33	662.0	688.17	726.5799999999998	721.66	632.9499999999998	619.84
1.1.1.51-RXN	13.5	18.0	4.0	15.0	9.0	21.0	20.0	1.0	9.0	25.5	1.0	16.0	9.0	3.0	0.0	0.0	0.0	0.0	11.0	1.0	0.0	0.0	0.0	14.5	0.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	5.0	0.0	3.0	3.0	4.0	2.0	1.0	15.5	15.0	7.0	4.0	0.0	8.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	20.0	6.0	0.0	5.0	9.5	2.0	6.0	1.0	3.0	0.0	1.5
