pathway	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
1CMET2-PWY	-0.03443140630992062	-0.055739053981970245	-0.04988636795944427	-0.07748401944203472	-0.0344392350373235	-0.004692994748676696	-0.03451365928320155	-0.05651861498027196	-0.06414527728634524	-0.06067989832185824	-0.003141213249941017	-0.049040007924869795	-0.05159828992286222	-0.0419806769611638	-0.054877880747873205	-0.012607634553913265	-0.055136185513788856	-0.04532535478922683	-0.025524196988236884	-0.06048042142251869	-0.07111403666174113	-0.04865401427712136	-0.07571483819135501	-0.054931663457256995	-0.0265738256537983	-0.037594855769063226	-0.03833140990882172	-0.06465107019451849	-0.06504548239248967	-0.0425641876909859	-0.04878590149748454	-0.04939268288900841	0.0014645569866939265	0.015579361295015078	-0.03652635005653065	-0.05749962547139658	-0.03554963730014787	-0.0953897449296235	-0.05709181440865747	-0.05245516367442892	-0.008403092586280794	-0.03748715241029276	-0.011393740408493567	-0.03281176590935588	-0.04460968347367341	-0.0327703582756827	-0.08639249540690765	-0.08487038470454084	-0.052156647920297075	-0.06146633332527963	-0.05396200003231376	-0.06658615773936934	-0.038164433456027505	-0.050234594496517314	-0.07114823317646037	-0.029383412764384324	-0.035425516637134176	-0.05048015501304502	0.011924965832115662	-0.04794871509981633	-0.051400552865904725	-0.007675103584837119	-0.04143826435943542	-0.01726805984403158	-0.04622927505239603	-0.06916473388499207	-0.030095088382939783	0.010215065977043188	-0.06677908078878993	-0.03318931811392375	-0.05901921220957047	-0.04009022408645536	-0.04795497571821786	-0.030644027826925768	-0.006445208070451281	-0.05771719830467664	-0.049313555483964155	-0.05519777549468315	-0.09161974249453196	-0.037016520015039044	-0.031134005969358926	-0.03519466131082749	-0.018733512254712825	-0.048287366890968964	-0.040691056906133914	-0.02773464451184826	-0.04835346725777316	-0.0502197534519339	-0.08138592399582738	-0.05960046126279687	-0.003856500751044157	0.013855505175241313	-0.02015482917370712	-0.06142272821032058	-0.043562337080493174	-0.046170871788873205	-0.004260666506100309	-0.05770293125925381	-0.07196233361374367	-0.043562337080493174
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	-0.09202430843643948	-0.027286118301730902	-0.10653366170193648	0.023050223457843712	-0.07637344953735599	-0.060134201444265255	0.014723900705465687	-0.03407914776101501	-0.028513058916904522	-0.18826531544476535	0.09290467223527786	-0.16597183071481633	-0.06130894673125662	-0.07400889665942044	-0.04093235607686749	0.008018724030614214	0.07100661297120889	-0.10223556115083712	-0.09453079466065595	-0.12649640634808912	-0.14715183435207085	-0.04121223998634972	-0.08609705584647837	-0.07053261396182364	-0.030754128223545067	-0.08980001787070034	-0.17292105672881547	-0.14154034867558135	-0.0019259825437649173	-0.1115006203957318	-0.007339373290064126	-0.020804470683087866	0.007550325800722534	-0.043713187091995724	-0.003974024358367618	0.007501732432955828	-0.17364851296666795	-0.06041378580235544	-0.0028523496043862265	-0.06274070557899211	-0.07297255697849589	-0.09037165868717363	-0.022000445468158727	0.003960183540494349	-0.018079753904538358	-0.10705401512594898	-0.018464100639414095	-0.1507217412271438	-0.011298060170502715	-0.2058893077076076	0.007605083914270004	-0.12144401847990934	-0.05777497312640133	0.012031998448979208	-0.010605013616952989	-0.07904348015042627	-0.11464114006118195	-0.027010658812229152	-0.09645519679929306	-0.1385582545495028	-0.04535355740036613	-0.06542894440275597	-0.025720646013121788	-0.04455163654698081	-0.12502802391481044	-0.05769226501021529	-0.051859822558445595	-0.04247904880123323	0.03724889097019974	-0.07063994797357119	-0.08170628281245018	-0.177400314802183	0.021728454172397813	-8.309842363837421e-05	-0.18874314951164906	0.021674473320691487	-0.07437180914813826	-0.014521611160725584	-0.015213405727400946	-0.004612810576806141	0.010577876322267908	-0.11635176307137003	-0.0870534682356359	-0.07279502871909961	-0.06645798343013931	-0.030345064788846396	0.0022002048480009202	-0.004888458488775662	-0.11737985268352087	-0.07528403338447488	-0.0005444410209442681	-0.04038083068613237	0.02504950604451663	-0.1462786871501236	-0.013404543974935307	-0.00390876702727061	-0.030008298790367347	0.03746157740019424	-0.08809377907482299	-0.013404543974935307
AEROBACTINSYN-PWY	0.09838789655174436	-0.20057054845267452	0.09699743565438755	-0.13024546844102006	0.14375645062408865	-0.06803177085122769	0.11795905674823647	-0.06397880078349992	0.007573930263584081	-0.14113790679372698	-0.00313663393144525	-0.12480441450257232	-0.05463763023226524	0.03430527417824386	0.02737671294638119	0.08395892768215643	0.02998537210934251	0.07412867333510297	0.126375394927978	0.12898988572839604	0.005390104090102869	0.07246429765137655	0.03250573511979121	0.005450339819415289	-0.08582414633171534	0.08194293556214405	-0.04263487686146107	0.041038698208701686	0.029680125087388296	-0.12807148660173642	-0.11982852226708368	-0.009556726164983563	0.00927058028223408	0.06381670453806433	0.00366055803675981	-0.13892670012820238	-0.10060279585324278	-0.06816925945446015	0.02941901924885867	0.11313485770946767	0.013679400846904676	0.13367312639183895	0.10958854084009126	0.05408243581374209	0.0815111990787702	-0.024763356258416757	-0.07554634168972213	-0.059456389435355375	0.09819447388956455	0.0014298093270769668	0.03633721990344616	0.013910011205600082	0.1472591551815032	-0.20693782885488685	0.11907860503247125	0.138264574147311	0.1439144462309805	0.0008118852079426409	0.046159513197075466	-0.01925962736509773	-0.03720765311828307	-0.11995711932631686	-0.005587875227312813	0.09510877164760904	0.178854147135131	0.17931142217249926	-0.17342003895088712	-0.20538197805549466	-0.17042810615251405	0.051491112629389595	0.10685602369616573	0.023606727824173463	-0.13474675155535143	0.09997063371480847	-0.18082240856037957	0.0800765628430393	-0.05759732714276757	0.0434224240771667	0.11467627915793101	0.11312511717185254	-0.030180305906081086	-0.01764527146463079	0.12743351667059627	0.012477818455717974	0.012256842126300106	-0.03767790103699956	-0.032803049824586726	0.13050507212149018	0.00915105229974121	-0.1413672116440239	0.1827225882378878	0.18198283330264498	-0.10448639003876693	-0.04638704553114451	0.07260354007105534	0.01120793202438183	0.029619449647272745	-0.1428736219298857	0.07603614243084361	0.07260354007105534
ALL-CHORISMATE-PWY	-0.11501243959606781	-0.25659664244630354	-0.012763824177602787	-0.18742041425279612	-0.0356782418196933	-0.026033897394551628	0.06533286474172588	0.003777044037719914	-0.07414876913554255	-0.1138618752259815	0.004208732468613796	-0.12234540725032118	-0.20186436473999578	-0.16892337470652824	-0.08972111361088399	-0.04950186910758894	-0.12760154697554693	-0.12912947467439687	-0.08530348820990308	-0.14525349572599025	-0.1923777361592966	-0.16278498890410992	-0.10798096490933679	-0.10284647384587944	-0.10202886552003244	-0.19005160786569447	-0.09157271584234383	-0.03464099619573629	-0.21631160983794492	-0.034464509964098	0.07480241566434818	-0.12241497740764852	0.01815781404158578	-0.14081165240829266	-0.0417757687857445	0.0027263938373476024	-0.18404370374848447	0.04567642591334711	-0.025457288981378497	-0.0777642658957724	-0.04267205892348184	-0.1241157768081873	-0.1345828286251022	-0.045963137308786435	-0.05369790705732213	-0.18472356297643325	-0.1903854457590796	-0.14713106395923242	-0.016837777781378818	-0.18288436242838496	-0.028148657634838613	0.018609336616010476	-0.02153585563278431	-0.03485482159164372	-0.028277414286104773	-0.14108214320278462	-0.08122297790817863	-0.09548021888208366	0.007179581667447843	-0.04250173366707913	-0.08571751224077516	-0.029853546795885446	-0.06644732410733195	-0.04961068969238986	-0.07848491868513105	-0.17321916254457434	-0.1646429613131162	-0.0261977613896968	-0.05955739708505128	-0.15510548101120344	-0.14524494410247066	-0.131888680281866	-0.08576296906688069	-0.03319983177980343	-0.13668629689265266	-0.17435000038157233	-0.15318053967462109	-0.19453616652367217	-0.18830119299066211	-0.16909051115008694	-0.008099532467048158	-0.023042502918809694	0.04911685405746068	-0.10651814199974513	-0.0757957614481868	-0.043637866637065016	0.009132220193055653	-0.08855799994427735	-0.08545654554688228	0.020435705704613713	-0.1646688498563217	-0.03893802177588909	0.0019090048227552035	-0.03335990758713959	-0.040023967934783994	-0.16507164827892176	-0.006169622680659993	-0.08052865166564623	-0.01990191040968391	-0.040023967934783994
ANAEROFRUCAT-PWY	-0.00024604484423848457	-0.20616327390248373	-0.05987501125851187	-0.0199809437436395	-0.1270916001354344	-0.02509983954708017	-0.08150738165760966	-0.19557358739020486	-0.07055477714711135	-0.14796639641570986	-0.007071464943446192	-0.11293382471097595	-0.0624438754223347	-0.07770621173289308	-0.014388344348478422	-0.04913796266354469	-0.09431430802152496	-0.05951779906433413	-0.09566063830926312	-0.19556790241396863	-0.0792664416205831	-0.006831865387735949	-0.1076854195560138	-0.07218628908615728	-0.06662285087986364	-0.0703410445808402	-0.04593027853782235	-0.05392733012353741	-0.10080282522933673	-0.06338605876322427	-0.11558804874539667	-0.1665682274055304	0.011725627187846645	-0.1178659855315678	-0.06153186673991956	-0.04331293804936374	-0.13872363317711772	-0.04235059672686776	-0.08874537081023547	-0.08826055024903295	-0.013777728589291709	-0.029306011711326792	-0.05497050005443938	-0.10086755265390426	-0.08509620393382142	-0.12604784034753783	-0.06518454914475806	-0.12154260374733976	-0.013890764016885323	-0.1699892994251203	-0.05764528373466943	-0.05693463910881798	-0.06559996734476996	-0.10689922816815467	-0.0973934632620088	-0.09630127814163787	-0.1211957528639919	-0.11880261520267958	0.001995079090405283	-0.05987390651024691	-0.018421539366955345	-0.08951348545639361	-0.10879787288179595	-0.03405535394873893	-0.14309931114314764	-0.10371148199921428	-0.09104689213225564	-0.04718931056387795	-0.1479932858717137	-0.06754041147958449	-0.12930639032526164	-0.09161122477942751	-0.05848742824611146	0.005967805814208351	-0.11946982159498917	-0.08246167726778346	-0.146972888605379	-0.17320826013201118	-0.08894742821496036	-0.029989615610574796	-0.07695271414462539	-0.08371658494456584	-0.017496592666977027	-0.0072416781722774125	-0.005325845729683935	-0.055196916657903765	-0.11190822053557949	-0.03696340248732074	-0.15869038513041217	-0.021087019224986944	-0.11884301578311664	-0.03336144872306813	-0.11221019607597946	-0.12714674820430524	-0.007878495016029628	-0.1149868951741486	-0.0440583685401205	-0.029479626161731044	-0.07146452760810469	-0.007878495016029628
ANAGLYCOLYSIS-PWY	-0.005917439355079071	0.00037526741176286587	-0.004792997037676197	0.03425927390548773	0.018478057295042496	-0.00606174608221385	0.01309539319834145	-0.01973530128508724	0.00632229149919799	-0.007510253943248427	0.013372986281282936	-0.02594221812232494	0.027402554876134307	-0.023401124429539018	0.010412252076529903	-0.03038925792493225	-0.002038572485589308	-0.009700710963619633	0.0011889517642789185	-0.014404568021201424	-0.01699328788460963	-0.007403998407580298	-0.004580309500244431	-0.03520291108141496	-0.017455874731972163	-0.03971633788884181	-0.01271701836164858	-0.030720404849129277	-0.028718604560930568	0.0026945439825199406	0.019190840985221048	-0.01110177170119291	0.03123620332174115	-0.010613961682906636	-0.011470147075954076	0.02332175317688037	-0.024483801789648756	-0.0071017704211416765	0.009829439376469854	0.014987636754700061	-0.026360014960251577	-0.02775131250254051	0.02134976034091367	0.0012368683399009283	-0.0013430097363953581	-0.03808931578073658	-0.01147505962572091	-0.00041406933108871724	-0.011716472603887387	-0.011317060549936805	-0.039636720592937554	-0.007639204354070774	0.010181366861110238	-0.011885792638563746	-0.023757836275864815	-0.014488019272232385	-0.023670072521115432	-0.014935108668870087	-0.032009744940609555	-0.02802892024024447	-0.006213316425941738	-0.011899035044096708	0.01147679428943884	0.01227122217401389	0.002638256320822935	-0.009468266086766654	0.026075464012896506	0.002562728807454804	0.007818820075404204	-0.04117827109811945	-0.015349206407450626	0.004179349657759728	-0.0052068929306887946	-0.0053209011631165795	-0.021422485125940905	-0.02046845205003829	0.03828767811390155	-0.0027027157035148823	0.01958760941588411	0.004378906689338124	0.04871121572554378	-0.020210944294740983	0.014444230864926633	-0.0411325994201512	0.007572464146236	0.007873078160376835	-0.005240667647557503	-0.021391796560815232	-0.032010574599703356	-0.003188973553732976	-0.005965363135105502	-0.012166624796298505	-0.02317804922757703	0.002507340353880616	-0.0007947730523002614	-0.029739768912212368	-0.0031580165084742337	-0.01672362306888587	-0.01616917363023055	-0.0007947730523002614
ARG+POLYAMINE-SYN	-0.12633596468719402	-0.11119577694388962	-0.08654837478037827	-0.06473464263151665	-0.09309435817449177	-0.006116435196290331	-0.04631914534978185	-0.022855818861119606	-0.07598956211852577	-0.05024724149711686	-0.011481422632473395	-0.10168113128396924	-0.10415648804070694	-0.006770082351910583	0.004410564200861034	-0.07863064868402049	-0.0940469813135257	-0.07356415004080526	-0.04412326402574457	-0.09169173017899677	-0.03415892569653002	-0.06952377193211555	-0.016119172615500003	-0.11361511061371872	-0.10577454455269526	-0.09512859785414181	-0.022034415996655225	-0.011649023826738934	-0.10202465472980365	-0.04494676933543833	0.028738922174222612	-0.20905971117827996	-0.04505774836400458	-0.1445600533030436	-0.061851728576571376	-0.04496241525481657	-0.0034458309716340957	0.0015236508095971405	-0.06060342441765528	-0.01689694563020881	-0.0767464694356148	-0.09855800082557616	-0.10592343120411145	-0.1133488103857478	-0.1641309546319986	-0.08629959859151923	-0.018639540203977206	-0.007774015305711953	-0.019650565333103186	-0.02595821568188745	-0.04126339930176173	0.06758954854828858	-0.11243012037308361	-0.06001283728108766	-0.07101431422020674	-0.09099518066113566	-0.09897857136483451	-0.09576444319758133	-0.06716941724036485	-0.012396147310151238	-0.04221587763542728	-0.05003331005014633	-0.06635894901154492	-0.03422580987804934	-0.05686268979615288	-0.06739293750172126	-0.03909724981845306	-0.08528542389936718	-0.055637954712335895	-0.0905951948026468	-0.07033440646864968	0.01358944653594436	-0.11174025086963583	-0.026139330849786813	-0.08165738463985364	-0.03483912157786036	-0.031181506287370576	-0.08284402513601172	-0.051450266493531537	-0.09449945553084013	-0.11289968113666397	0.014768243092731748	-0.014218118506639881	-0.0651580807100493	-0.02003577066285518	-0.09904134550159975	-0.11306009133933917	-0.06727073346385787	-0.1261724454441754	0.008311235462834538	-0.05191718010564933	-0.05104951150308946	-0.11948080787429463	-0.04180895432265518	-0.08369480229495939	-0.09070865522340972	-0.0005159301624589915	-0.0887703588675824	-0.1417011543847757	-0.08369480229495939
ARGDEG-PWY	0.07154124499599133	-0.027622663278832636	-0.044519500121193364	-0.03297747657442524	-0.027268187682566364	0.14649419290982874	-0.023445702977727325	-0.010943767768270267	-0.043527595319330786	0.011201233314793753	0.011731425035253415	0.0323356841846577	0.008589177304106752	0.06806629248547012	-0.016736973358355656	-0.028459163947803214	-0.04827731276921085	0.039629348720539505	0.045758549042660045	-0.04821467210416543	-0.03583113650574169	0.012518657936658767	-0.0371034677159822	0.04034677220760609	0.009231235962374603	0.08418766998980037	0.039743401216349936	-0.009474080338846327	-0.07832595524456143	0.10992505871009764	0.057567582628982844	-0.07029181118634541	-0.09584637084180173	0.05847894288125233	0.08756617596259057	0.059044170376967894	-0.09005578889592629	-0.0058950616069902454	0.03765792792196182	0.0029843022190106784	0.07656491815977048	0.06512989519457561	0.07753921652967422	-0.032418654603963565	0.11306614133204196	0.07082903963373767	-0.0014333054106949713	-0.0227732897162425	0.026646532280854868	-0.022521019853890524	0.09560112456985607	-0.0055918673151229125	0.059314089115333646	0.0574098947503857	-0.05814522577308249	-9.266343959749967e-05	-0.027259883118989952	-0.05054028107524111	0.09252305311303143	0.09772875204669328	0.016919551028462737	0.030632599596580982	-0.07724018560892679	-0.008319263603115924	-0.013700646688394935	-0.0812023887376818	0.0729634345620182	0.065664092173495	0.017791343350688257	-0.012487239642220314	-0.021081821597281142	0.006738948533299832	0.04922577183088239	-0.10833512085472506	-0.024548282366634547	0.002787763702534101	-0.044816008757524985	-0.0718078988729645	-0.055802968867690435	0.0354566806214473	-0.06349250881325763	0.07023063445941662	0.05143780993443647	0.01681878906396209	0.02279383073310181	0.029179430521078038	-0.005009668009756636	0.06478777024345524	-0.04207180473289617	0.10291139779692328	-0.04331625382439325	0.015160299927390037	-0.04888822290723448	0.09005628505171319	0.053404946784192574	-0.014335214637293966	0.04971545936384794	-0.026981669271246612	-0.04884726468898237	0.053404946784192574
ARGORNPROST-PWY	0.04018439381376965	0.00035378521174802283	0.06493130075561648	0.17112716936344385	-0.1075693120738351	-0.010069248503477771	-0.016096131704044263	-0.005172570780929243	0.034666850257041554	0.06730673582328715	0.09867070676904163	-0.07800932243264651	0.08894161692257291	-0.009068782795408575	0.06228895644100275	0.01550252000634055	0.14278702990258824	-0.07359503703721491	-0.05023528996297831	-0.0687367129805438	-0.11523069104995147	0.014075725228700332	-0.03940820294715947	0.07974881425773385	0.07043534700116916	-0.051292226754878864	-0.021890581788397083	0.04500977704389212	0.08325000749398563	0.05901617975142489	0.07110998883468646	0.13741900125759904	-0.06324119959313027	-0.0390212445849652	0.036423021814261075	0.020729427148574606	-0.16362584668736033	0.0958965297986244	0.000900449076817393	-0.008523762413336043	-0.026234963134200682	-0.04607416877543365	-0.033662288227692336	-0.022203951623333554	0.04940335061018629	-0.030153271144850856	0.05863565411106177	-0.038631635360542614	0.11797153969811006	-0.01514191352731629	0.043093728772168736	0.005557270423563421	0.0011384790205765294	0.03670674073812863	0.06984788339855398	-0.07494290924014811	-0.0109750003330864	0.03504115403584633	-0.06640270778803667	0.015373255847463916	-0.02674708170694835	-0.02812658313866617	-0.037364042876489964	-0.016223699584527206	-0.012576007673903052	0.02249621579892619	-0.03259082081021163	0.002336615244737	0.09774497957808656	0.007065061223460327	-0.038147874706626124	0.0569192688191458	0.05713447976016142	0.07494558947720716	0.016422035923379628	0.01583876943518137	-0.06553938163141197	0.026641213335354307	0.022764586372661304	0.10448351572585397	0.07425489774010523	-0.16461436630680812	-0.016129532028579384	0.012971461980347376	0.04719696441101933	0.06618584824029401	0.039755124200030974	0.06496954249203474	-0.04898481514970918	-0.008561791051209	-0.08083002460827866	-0.002009416429048169	0.0509365445540753	0.06444371353818551	0.11452522909251858	-0.00482272018173186	0.058318178773586984	0.02656650931707031	0.044954204889351125	0.11452522909251858
ARGSYN-PWY	0.07539914937652177	0.18819148247152684	0.10181949332802097	0.16637338927469114	0.17287781980932374	0.10756435389292797	0.07766450919583837	0.10494772978226503	0.13545393950659235	0.0773219885937634	0.07173375725225298	0.1476624135347518	0.17496639615556225	0.09523425299808122	0.11853200680216734	0.11953555003863038	0.024649761534028206	0.07181371825804837	0.15921577748351734	0.1801436151010254	0.18427638581985664	0.1145036612796395	0.06792724133839682	0.04527087902028256	0.08322494609412834	0.0633341604785518	0.1791494315586804	0.12187483889600147	0.1408710120382955	0.18666674192463747	0.09991037216590112	0.10740741719055942	0.06291483822942019	0.17256172548117693	0.05176534120488572	0.09502890975995965	0.15956551206730094	0.08215601349380933	0.09678717980109144	0.10548492343237749	0.09660425614861992	0.08156477899476158	0.11956784935537114	0.053124052177075366	0.11465217611495285	0.13772719279023862	0.1179706133589566	0.13041472721617578	0.07170009455231108	0.25639299010751715	0.056838861547371035	0.2175779659053811	0.019832728363648282	0.15965873879211287	0.029509147998608258	0.0646561236973073	0.12984934923964403	0.10364085270597988	0.09079997010207932	0.06734970236780521	0.12769946344375047	0.24504009419132755	0.18932925148176813	0.10924674841318477	0.14752696025193807	0.16729480162175966	0.24135273753050263	0.16868985824753127	0.1380700923096492	0.13668309216594518	0.07700671873716812	0.17460324275279995	0.08082579519962078	0.06603530041621845	0.1366120832597795	0.18822451279544902	0.22206343360301406	0.18605070109661348	0.112952843351539	0.09002347958030382	0.0837340528960747	0.1835437908451709	0.11293857524004114	0.08015950793654243	0.1717468952179708	0.20257616649383747	0.012277936048612124	0.09464021983059236	0.030748667788075473	0.07562094385000553	0.17535936397889887	0.14379230599480808	0.12738103697710307	0.1432286488545363	0.047060011575641714	0.10128311024204974	0.06054632263790005	0.10294157185439433	0.03354412155227727	0.047060011575641714
